Src IP Addr, Fuzzers,Analysis,Backdoors,Benign,DoS,Exploits,Generic,Reconnaissance,Shellcode,Worms
10.40.170.2,0,0,0,874,0,0,0,0,0,0
10.40.182.1,0,0,0,1670,0,0,0,0,0,0
10.40.182.3,0,0,0,874,0,0,0,0,0,0
10.40.85.1,0,0,0,1680,0,0,0,0,0,0
10.40.85.30,0,0,0,888,0,0,0,0,0,0
127.0.0.1,0,0,0,1,0,0,0,0,0,0
149.171.126.0,0,0,0,192,0,0,0,0,0,0
149.171.126.1,0,0,0,251,0,0,0,0,0,0
149.171.126.10,0,0,0,3,0,0,0,0,0,0
149.171.126.11,0,0,0,16,0,0,0,0,0,0
149.171.126.12,0,0,0,2,0,0,0,0,0,0
149.171.126.13,0,0,0,1,0,0,0,0,0,0
149.171.126.15,0,0,0,8,0,0,0,0,0,0
149.171.126.16,0,0,0,6,0,0,0,0,0,0
149.171.126.17,0,0,0,1,0,0,0,0,0,0
149.171.126.18,0,0,0,6010,0,0,0,0,0,0
149.171.126.19,0,0,0,3,0,0,0,0,0,0
149.171.126.2,0,0,0,232,0,0,0,0,0,0
149.171.126.3,0,0,0,231,0,0,0,0,0,0
149.171.126.4,0,0,0,225,0,0,0,0,0,0
149.171.126.5,0,0,0,249,0,0,0,0,0,0
149.171.126.6,0,0,0,241,0,0,0,0,0,0
149.171.126.7,0,0,0,207,0,0,0,0,0,0
149.171.126.8,0,0,0,217,0,0,0,0,0,0
149.171.126.9,0,0,0,217,0,0,0,0,0,0
175.45.176.0,1192,58,18,1489,157,1167,157,474,60,10
175.45.176.1,2011,468,492,1074,631,2097,7062,425,62,3
175.45.176.2,644,0,17,622,180,1135,146,435,52,5
175.45.176.3,1204,0,7,2071,199,1010,157,425,49,6
192.168.241.243,0,0,0,108,0,0,0,0,0,0
59.166.0.0,0,0,0,67128,0,0,0,0,0,0
59.166.0.1,0,0,0,66587,0,0,0,0,0,0
59.166.0.2,0,0,0,67209,0,0,0,0,0,0
59.166.0.3,0,0,0,66145,0,0,0,0,0,0
59.166.0.4,0,0,0,66722,0,0,0,0,0,0
59.166.0.5,0,0,0,67091,0,0,0,0,0,0
59.166.0.6,0,0,0,64689,0,0,0,0,0,0
59.166.0.7,0,0,0,63725,0,0,0,0,0,0
59.166.0.8,0,0,0,64640,0,0,0,0,0,0
59.166.0.9,0,0,0,64187,0,0,0,0,0,0
