Src IP Addr, Fuzzers , Reconnaissance , Shellcode ,Analysis,Backdoor,Benign,DoS,Exploits,Generic,Worms
10.40.170.2,0,0,0,0,0,216,0,0,0,0
10.40.182.1,0,0,0,0,0,403,0,0,0,0
10.40.182.3,0,0,0,0,0,219,0,0,0,0
10.40.182.6,0,0,0,0,0,964,0,0,0,0
10.40.85.1,0,0,0,0,0,415,0,0,0,0
10.40.85.10,0,0,0,0,0,225,0,0,0,0
10.40.85.30,0,0,0,0,0,220,0,0,0,0
149.171.126.0,0,0,0,0,0,1,0,0,0,0
149.171.126.1,0,0,0,0,0,3,0,0,0,0
149.171.126.10,0,0,0,0,0,30356,0,0,0,0
149.171.126.11,0,0,0,0,0,6,0,0,0,0
149.171.126.12,0,0,0,0,0,2,0,0,0,0
149.171.126.13,0,0,0,0,0,106,0,0,0,0
149.171.126.14,0,0,0,0,0,41037,0,0,0,0
149.171.126.15,0,0,0,0,0,1,0,0,0,0
149.171.126.17,0,0,0,0,0,3,0,0,0,0
149.171.126.18,0,0,0,0,0,7,0,0,0,0
149.171.126.19,0,0,0,0,0,7,0,0,0,0
149.171.126.2,0,0,0,0,0,4,0,0,0,0
149.171.126.4,0,0,0,0,0,3,0,0,0,0
149.171.126.5,0,0,0,0,0,2,0,0,0,0
149.171.126.6,0,0,0,0,0,2,0,0,0,0
149.171.126.7,0,0,0,0,0,2,0,0,0,0
149.171.126.8,0,0,0,0,0,3,0,0,0,0
175.45.176.0,1431,1049,92,266,306,1421,2149,4274,27617,9
175.45.176.1,1210,766,82,5,39,2760,351,1839,33476,10
175.45.176.2,1406,961,88,260,288,2981,2049,3250,509,13
175.45.176.3,1343,754,109,139,33,2882,358,2076,276,11
59.166.0.0,0,0,0,0,0,27111,0,0,0,0
59.166.0.1,0,0,0,0,0,27391,0,0,0,0
59.166.0.2,0,0,0,0,0,27050,0,0,0,0
59.166.0.3,0,0,0,0,0,26900,0,0,0,0
59.166.0.4,0,0,0,0,0,27216,0,0,0,0
59.166.0.5,0,0,0,0,0,27164,0,0,0,0
59.166.0.6,0,0,0,0,0,25590,0,0,0,0
59.166.0.7,0,0,0,0,0,26055,0,0,0,0
59.166.0.8,0,0,0,0,0,26024,0,0,0,0
59.166.0.9,0,0,0,0,0,26398,0,0,0,0
