Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Proto,Timestamp,class,attack_label
59.166.0.0,6055,149.171.126.5,54145,tcp,2015-01-22 19:44:02,Benign,0
59.166.0.0,7832,149.171.126.3,5607,tcp,2015-01-22 19:44:02,Benign,0
59.166.0.8,11397,149.171.126.6,21,tcp,2015-01-22 19:44:02,Benign,0
59.166.0.0,3804,149.171.126.3,53,udp,2015-01-22 19:44:02,Benign,0
59.166.0.8,14339,149.171.126.6,14724,tcp,2015-01-22 19:44:02,Benign,0
59.166.0.8,39094,149.171.126.3,53,udp,2015-01-22 19:44:02,Benign,0
59.166.0.0,10845,149.171.126.7,5190,tcp,2015-01-22 19:44:02,Benign,0
59.166.0.3,45642,149.171.126.5,80,tcp,2015-01-22 19:44:02,Benign,0
59.166.0.4,1931,149.171.126.6,6881,tcp,2015-01-22 19:43:59,Benign,0
59.166.0.8,25724,149.171.126.6,5190,tcp,2015-01-22 19:44:03,Benign,0
59.166.0.3,49668,149.171.126.7,80,tcp,2015-01-22 19:44:02,Benign,0
59.166.0.2,14951,149.171.126.6,53,udp,2015-01-22 19:44:03,Benign,0
59.166.0.4,27545,149.171.126.3,111,udp,2015-01-22 19:44:03,Benign,0
59.166.0.4,56591,149.171.126.3,39730,udp,2015-01-22 19:44:03,Benign,0
59.166.0.6,27855,149.171.126.4,53,udp,2015-01-22 19:44:03,Benign,0
59.166.0.7,50296,149.171.126.8,53,udp,2015-01-22 19:44:03,Benign,0
59.166.0.9,30115,149.171.126.8,31010,tcp,2015-01-22 19:44:03,Benign,0
59.166.0.0,5573,149.171.126.9,80,tcp,2015-01-22 19:44:02,Benign,0
59.166.0.0,23062,149.171.126.1,5190,tcp,2015-01-22 19:44:03,Benign,0
59.166.0.5,34913,149.171.126.7,5190,tcp,2015-01-22 19:44:02,Benign,0
59.166.0.0,16182,149.171.126.8,53,udp,2015-01-22 19:44:03,Benign,0
59.166.0.5,60312,149.171.126.1,53,udp,2015-01-22 19:44:03,Benign,0
59.166.0.4,20134,149.171.126.1,5190,tcp,2015-01-22 19:44:03,Benign,0
59.166.0.9,50600,149.171.126.8,49439,tcp,2015-01-22 19:44:03,Benign,0
59.166.0.9,55009,149.171.126.5,53,udp,2015-01-22 19:44:03,Benign,0
59.166.0.9,56851,149.171.126.8,21,tcp,2015-01-22 19:44:03,Benign,0
59.166.0.6,51278,149.171.126.9,143,tcp,2015-01-22 19:44:03,Benign,0
59.166.0.1,8780,149.171.126.5,53,udp,2015-01-22 19:44:04,Benign,0
59.166.0.3,63194,149.171.126.6,31010,tcp,2015-01-22 19:44:04,Benign,0
59.166.0.6,8844,149.171.126.7,53,udp,2015-01-22 19:44:04,Benign,0
59.166.0.3,8146,149.171.126.6,25,tcp,2015-01-22 19:44:04,Benign,0
59.166.0.2,36161,149.171.126.8,80,tcp,2015-01-22 19:44:03,Benign,0
59.166.0.5,25279,149.171.126.8,80,tcp,2015-01-22 19:44:03,Benign,0
59.166.0.0,43283,149.171.126.1,53,udp,2015-01-22 19:44:04,Benign,0
59.166.0.3,6484,149.171.126.9,53,udp,2015-01-22 19:44:04,Benign,0
59.166.0.4,30144,149.171.126.3,56415,tcp,2015-01-22 19:44:03,Benign,0
59.166.0.3,1729,149.171.126.6,49439,tcp,2015-01-22 19:44:04,Benign,0
59.166.0.4,53792,149.171.126.6,53,udp,2015-01-22 19:44:04,Benign,0
59.166.0.4,65358,149.171.126.6,6881,tcp,2015-01-22 19:43:59,Benign,0
59.166.0.9,53519,149.171.126.8,14724,tcp,2015-01-22 19:44:03,Benign,0
59.166.0.0,40313,149.171.126.4,38272,tcp,2015-01-22 19:44:04,Benign,0
59.166.0.1,33497,149.171.126.3,22,tcp,2015-01-22 19:44:04,Benign,0
59.166.0.3,16637,149.171.126.9,53,udp,2015-01-22 19:44:04,Benign,0
59.166.0.0,38694,149.171.126.2,29981,tcp,2015-01-22 19:44:04,Benign,0
59.166.0.7,33880,149.171.126.2,5190,tcp,2015-01-22 19:44:04,Benign,0
59.166.0.7,41204,149.171.126.6,53,udp,2015-01-22 19:44:04,Benign,0
59.166.0.1,41426,149.171.126.7,80,tcp,2015-01-22 19:44:04,Benign,0
59.166.0.7,13392,149.171.126.7,25,tcp,2015-01-22 19:44:04,Benign,0
59.166.0.4,22219,149.171.126.6,6881,tcp,2015-01-22 19:43:59,Benign,0
59.166.0.1,57939,149.171.126.9,53,udp,2015-01-22 19:44:05,Benign,0
59.166.0.5,55398,149.171.126.1,23287,tcp,2015-01-22 19:44:05,Benign,0
59.166.0.3,50394,149.171.126.5,53,udp,2015-01-22 19:44:05,Benign,0
59.166.0.7,52121,149.171.126.9,53,udp,2015-01-22 19:44:05,Benign,0
59.166.0.3,18261,149.171.126.6,21,tcp,2015-01-22 19:44:04,Benign,0
59.166.0.3,20989,149.171.126.6,14724,tcp,2015-01-22 19:44:04,Benign,0
59.166.0.6,10475,149.171.126.6,80,tcp,2015-01-22 19:44:04,Benign,0
59.166.0.7,32614,149.171.126.9,143,tcp,2015-01-22 19:44:03,Benign,0
59.166.0.4,25533,149.171.126.4,53,udp,2015-01-22 19:44:05,Benign,0
59.166.0.9,55514,149.171.126.2,61648,tcp,2015-01-22 19:44:05,Benign,0
59.166.0.9,62075,149.171.126.0,25526,tcp,2015-01-22 19:44:05,Benign,0
59.166.0.1,1258,149.171.126.1,53,udp,2015-01-22 19:44:05,Benign,0
59.166.0.3,25910,149.171.126.6,53,udp,2015-01-22 19:44:05,Benign,0
59.166.0.5,23689,149.171.126.4,12483,tcp,2015-01-22 19:44:05,Benign,0
59.166.0.2,36597,149.171.126.8,53,udp,2015-01-22 19:44:05,Benign,0
59.166.0.2,62679,149.171.126.0,25,tcp,2015-01-22 19:44:05,Benign,0
59.166.0.6,52504,149.171.126.5,53,udp,2015-01-22 19:44:06,Benign,0
59.166.0.7,41122,149.171.126.8,53,udp,2015-01-22 19:44:06,Benign,0
59.166.0.4,35372,149.171.126.1,53,udp,2015-01-22 19:44:06,Benign,0
59.166.0.6,11995,149.171.126.6,53,udp,2015-01-22 19:44:06,Benign,0
59.166.0.3,27451,149.171.126.0,25,tcp,2015-01-22 19:44:05,Benign,0
59.166.0.0,5896,149.171.126.0,25,tcp,2015-01-22 19:44:06,Benign,0
59.166.0.9,45628,149.171.126.2,5190,tcp,2015-01-22 19:44:06,Benign,0
59.166.0.0,4247,149.171.126.9,53,udp,2015-01-22 19:44:06,Benign,0
59.166.0.4,16588,149.171.126.2,48663,tcp,2015-01-22 19:44:06,Benign,0
59.166.0.4,48878,149.171.126.0,2742,tcp,2015-01-22 19:44:06,Benign,0
59.166.0.4,3145,149.171.126.7,25625,tcp,2015-01-22 19:44:06,Benign,0
59.166.0.3,32435,149.171.126.7,80,tcp,2015-01-22 19:44:05,Benign,0
59.166.0.4,28453,149.171.126.6,143,tcp,2015-01-22 19:44:05,Benign,0
59.166.0.7,53866,149.171.126.4,80,tcp,2015-01-22 19:44:05,Benign,0
59.166.0.5,39417,149.171.126.5,53,udp,2015-01-22 19:44:06,Benign,0
59.166.0.6,35541,149.171.126.6,53,udp,2015-01-22 19:44:06,Benign,0
59.166.0.5,63207,149.171.126.3,17790,tcp,2015-01-22 19:44:06,Benign,0
59.166.0.7,57419,149.171.126.0,55443,tcp,2015-01-22 19:44:07,Benign,0
59.166.0.8,5090,149.171.126.8,5190,tcp,2015-01-22 19:44:07,Benign,0
59.166.0.0,51938,149.171.126.9,56797,tcp,2015-01-22 19:44:07,Benign,0
59.166.0.6,47586,149.171.126.3,30253,tcp,2015-01-22 19:44:07,Benign,0
59.166.0.7,47515,149.171.126.2,46966,tcp,2015-01-22 19:44:07,Benign,0
59.166.0.8,58392,149.171.126.2,53,udp,2015-01-22 19:44:07,Benign,0
59.166.0.7,40624,149.171.126.1,80,tcp,2015-01-22 19:44:06,Benign,0
59.166.0.4,17967,149.171.126.8,16197,tcp,2015-01-22 19:44:06,Benign,0
59.166.0.0,27912,149.171.126.9,111,udp,2015-01-22 19:44:07,Benign,0
59.166.0.7,26178,149.171.126.4,64573,tcp,2015-01-22 19:44:07,Benign,0
59.166.0.5,57833,149.171.126.5,53,udp,2015-01-22 19:44:07,Benign,0
59.166.0.5,64750,149.171.126.6,62797,tcp,2015-01-22 19:44:07,Benign,0
59.166.0.9,57179,149.171.126.8,53,udp,2015-01-22 19:44:07,Benign,0
59.166.0.6,37115,149.171.126.5,143,tcp,2015-01-22 19:44:06,Benign,0
59.166.0.0,29327,149.171.126.9,55186,udp,2015-01-22 19:44:07,Benign,0
59.166.0.6,14710,149.171.126.5,80,tcp,2015-01-22 19:44:06,Benign,0
59.166.0.9,32009,149.171.126.3,53,udp,2015-01-22 19:44:07,Benign,0
59.166.0.6,1282,149.171.126.9,53,udp,2015-01-22 19:44:07,Benign,0
59.166.0.0,14386,149.171.126.9,53,udp,2015-01-22 19:44:08,Benign,0
59.166.0.5,9736,149.171.126.2,2761,udp,2015-01-22 19:44:08,Benign,0
59.166.0.0,14397,149.171.126.1,12137,tcp,2015-01-22 19:44:08,Benign,0
59.166.0.0,17960,149.171.126.6,80,tcp,2015-01-22 19:44:03,Benign,0
59.166.0.5,50214,149.171.126.0,80,tcp,2015-01-22 19:44:07,Benign,0
59.166.0.0,40219,149.171.126.4,34655,tcp,2015-01-22 19:44:08,Benign,0
59.166.0.2,40796,149.171.126.9,38283,tcp,2015-01-22 19:44:08,Benign,0
59.166.0.3,35881,149.171.126.8,5190,tcp,2015-01-22 19:44:08,Benign,0
59.166.0.4,65308,149.171.126.4,53,udp,2015-01-22 19:44:08,Benign,0
59.166.0.2,36881,149.171.126.2,12123,tcp,2015-01-22 19:44:08,Benign,0
59.166.0.3,18350,149.171.126.9,53,udp,2015-01-22 19:44:08,Benign,0
59.166.0.5,43756,149.171.126.1,53,udp,2015-01-22 19:44:08,Benign,0
59.166.0.7,2945,149.171.126.2,1076,tcp,2015-01-22 19:44:07,Benign,0
59.166.0.8,24191,149.171.126.6,80,tcp,2015-01-22 19:44:07,Benign,0
59.166.0.9,50856,149.171.126.5,80,tcp,2015-01-22 19:44:07,Benign,0
59.166.0.0,38878,149.171.126.4,5190,tcp,2015-01-22 19:44:08,Benign,0
59.166.0.5,38450,149.171.126.2,39229,tcp,2015-01-22 19:44:08,Benign,0
59.166.0.5,7514,149.171.126.7,143,tcp,2015-01-22 19:44:08,Benign,0
59.166.0.4,8602,149.171.126.3,6881,tcp,2015-01-22 19:43:58,Benign,0
59.166.0.6,49200,149.171.126.7,1088,tcp,2015-01-22 19:44:07,Benign,0
59.166.0.9,33723,149.171.126.4,80,tcp,2015-01-22 19:44:07,Benign,0
59.166.0.0,15992,149.171.126.0,25,tcp,2015-01-22 19:44:08,Benign,0
59.166.0.5,8304,149.171.126.2,111,udp,2015-01-22 19:44:08,Benign,0
59.166.0.7,22984,149.171.126.6,35690,udp,2015-01-22 19:44:08,Benign,0
59.166.0.7,59402,149.171.126.6,111,udp,2015-01-22 19:44:08,Benign,0
59.166.0.1,31363,149.171.126.3,56014,tcp,2015-01-22 19:44:09,Benign,0
59.166.0.3,43763,149.171.126.8,53,udp,2015-01-22 19:44:09,Benign,0
59.166.0.4,33199,149.171.126.6,53,udp,2015-01-22 19:44:09,Benign,0
59.166.0.5,51328,149.171.126.9,53,udp,2015-01-22 19:44:09,Benign,0
59.166.0.3,1751,149.171.126.3,80,tcp,2015-01-22 19:44:08,Benign,0
59.166.0.7,62052,149.171.126.6,22805,tcp,2015-01-22 19:44:08,Benign,0
59.166.0.4,60794,149.171.126.8,61889,tcp,2015-01-22 19:44:09,Benign,0
59.166.0.4,9525,149.171.126.3,6881,tcp,2015-01-22 19:43:58,Benign,0
59.166.0.3,2213,149.171.126.4,5190,tcp,2015-01-22 19:44:09,Benign,0
59.166.0.4,26523,149.171.126.4,62340,tcp,2015-01-22 19:44:09,Benign,0
59.166.0.4,46313,149.171.126.7,25,tcp,2015-01-22 19:44:09,Benign,0
59.166.0.5,31468,149.171.126.6,25,tcp,2015-01-22 19:44:09,Benign,0
59.166.0.4,58676,149.171.126.6,143,tcp,2015-01-22 19:44:08,Benign,0
59.166.0.1,33027,149.171.126.0,30947,tcp,2015-01-22 19:44:09,Benign,0
59.166.0.3,22888,149.171.126.7,5190,tcp,2015-01-22 19:44:09,Benign,0
59.166.0.3,50889,149.171.126.8,53,udp,2015-01-22 19:44:09,Benign,0
59.166.0.1,45157,149.171.126.2,53,udp,2015-01-22 19:44:09,Benign,0
59.166.0.4,27127,149.171.126.6,20779,udp,2015-01-22 19:44:10,Benign,0
59.166.0.4,28165,149.171.126.6,26950,tcp,2015-01-22 19:44:10,Benign,0
59.166.0.6,19543,149.171.126.3,37325,tcp,2015-01-22 19:44:10,Benign,0
59.166.0.3,45449,149.171.126.4,80,tcp,2015-01-22 19:44:09,Benign,0
59.166.0.2,17023,149.171.126.5,5190,tcp,2015-01-22 19:44:10,Benign,0
59.166.0.4,37833,149.171.126.9,53,udp,2015-01-22 19:44:10,Benign,0
59.166.0.5,63774,149.171.126.2,53,udp,2015-01-22 19:44:10,Benign,0
59.166.0.6,64990,149.171.126.6,19124,tcp,2015-01-22 19:44:10,Benign,0
59.166.0.8,45758,149.171.126.9,53,udp,2015-01-22 19:44:10,Benign,0
59.166.0.4,38052,149.171.126.3,6881,tcp,2015-01-22 19:43:58,Benign,0
59.166.0.8,16001,149.171.126.5,13870,tcp,2015-01-22 19:44:10,Benign,0
59.166.0.3,47403,149.171.126.8,80,tcp,2015-01-22 19:44:09,Benign,0
59.166.0.6,24986,149.171.126.2,5190,tcp,2015-01-22 19:44:10,Benign,0
59.166.0.8,35798,149.171.126.5,41439,tcp,2015-01-22 19:44:10,Benign,0
59.166.0.9,4415,149.171.126.1,5190,tcp,2015-01-22 19:44:09,Benign,0
59.166.0.3,10515,149.171.126.4,32831,tcp,2015-01-22 19:44:10,Benign,0
59.166.0.4,55360,149.171.126.6,111,udp,2015-01-22 19:44:10,Benign,0
59.166.0.8,22196,149.171.126.9,53,udp,2015-01-22 19:44:10,Benign,0
59.166.0.1,44585,149.171.126.9,25,tcp,2015-01-22 19:44:09,Benign,0
