Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Proto,Timestamp,class,attack_label
175.45.176.1,39364,149.171.126.3,46036,udp,2015-01-22 20:00:00,Benign,0
175.45.176.3,44941,149.171.126.3,13142,tcp,2015-01-22 20:00:00,Benign,0
175.45.176.3,2560,149.171.126.6,5190,tcp,2015-01-22 20:00:00,Benign,0
175.45.176.3,8229,149.171.126.3,27976,tcp,2015-01-22 20:00:00,Benign,0
59.166.0.9,30334,149.171.126.5,58054,tcp,2015-01-22 20:00:00,Benign,0
59.166.0.9,47740,149.171.126.2,30105,tcp,2015-01-22 20:00:00,Benign,0
59.166.0.9,28753,149.171.126.1,24026,tcp,2015-01-22 20:00:00,Benign,0
175.45.176.3,7220,149.171.126.3,21,tcp,2015-01-22 20:00:00,Benign,0
59.166.0.5,10250,149.171.126.0,53,udp,2015-01-22 20:00:00,Benign,0
59.166.0.9,54350,149.171.126.3,5190,tcp,2015-01-22 20:00:00,Benign,0
175.45.176.1,10843,149.171.126.3,39158,tcp,2015-01-22 20:00:00,Benign,0
175.45.176.1,8281,149.171.126.3,111,udp,2015-01-22 20:00:00,Benign,0
59.166.0.5,54250,149.171.126.7,53,udp,2015-01-22 20:00:00,Benign,0
59.166.0.6,44184,149.171.126.0,6067,tcp,2015-01-22 20:00:00,Benign,0
59.166.0.9,3962,149.171.126.8,53040,tcp,2015-01-22 20:00:00,Benign,0
175.45.176.3,10064,149.171.126.3,35397,tcp,2015-01-22 20:00:00,Benign,0
175.45.176.3,43459,149.171.126.7,53,udp,2015-01-22 20:00:00,Benign,0
59.166.0.6,6478,149.171.126.9,49821,tcp,2015-01-22 20:00:00,Benign,0
175.45.176.1,22841,149.171.126.1,60327,tcp,2015-01-22 20:00:01,Benign,0
59.166.0.8,59598,149.171.126.9,19522,tcp,2015-01-22 20:00:01,Benign,0
59.166.0.9,27074,149.171.126.0,5190,tcp,2015-01-22 20:00:01,Benign,0
175.45.176.3,20953,149.171.126.6,21530,tcp,2015-01-22 20:00:01,Benign,0
175.45.176.3,58458,149.171.126.5,64560,tcp,2015-01-22 20:00:01,Benign,0
59.166.0.8,1490,149.171.126.5,19508,tcp,2015-01-22 20:00:01,Benign,0
175.45.176.1,13944,149.171.126.5,25,tcp,2015-01-22 20:00:01,Benign,0
59.166.0.5,63475,149.171.126.6,53,udp,2015-01-22 20:00:01,Benign,0
59.166.0.9,1255,149.171.126.5,17525,tcp,2015-01-22 20:00:01,Benign,0
59.166.0.4,55840,149.171.126.0,53,udp,2015-01-22 20:00:01,Benign,0
59.166.0.9,17960,149.171.126.0,38322,tcp,2015-01-22 20:00:01,Benign,0
59.166.0.5,12101,149.171.126.9,80,tcp,2015-01-22 20:00:00,Benign,0
175.45.176.1,41949,149.171.126.7,53,udp,2015-01-22 20:00:01,Benign,0
59.166.0.4,59094,149.171.126.2,5190,tcp,2015-01-22 20:00:01,Benign,0
175.45.176.1,62196,149.171.126.8,22459,tcp,2015-01-22 20:00:01,Benign,0
175.45.176.0,53886,149.171.126.2,30506,tcp,2015-01-22 20:00:02,Benign,0
175.45.176.3,45767,149.171.126.1,53,udp,2015-01-22 20:00:02,Benign,0
59.166.0.7,2027,149.171.126.4,6853,tcp,2015-01-22 20:00:02,Benign,0
175.45.176.1,49118,149.171.126.2,5190,tcp,2015-01-22 20:00:02,Benign,0
59.166.0.7,12093,149.171.126.4,43468,tcp,2015-01-22 20:00:02,Benign,0
175.45.176.0,50357,149.171.126.4,30950,tcp,2015-01-22 20:00:02,Benign,0
175.45.176.3,41410,149.171.126.4,53,udp,2015-01-22 20:00:02,Benign,0
59.166.0.7,35145,149.171.126.6,11691,tcp,2015-01-22 20:00:02,Benign,0
59.166.0.7,49638,149.171.126.9,47680,tcp,2015-01-22 20:00:02,Benign,0
59.166.0.9,39912,149.171.126.0,53,udp,2015-01-22 20:00:02,Benign,0
175.45.176.1,5803,149.171.126.6,50104,tcp,2015-01-22 20:00:02,Benign,0
59.166.0.5,29552,149.171.126.9,24104,tcp,2015-01-22 20:00:02,Benign,0
59.166.0.5,50582,149.171.126.7,56773,tcp,2015-01-22 20:00:02,Benign,0
59.166.0.5,47871,149.171.126.5,143,tcp,2015-01-22 20:00:00,Benign,0
59.166.0.4,57397,149.171.126.0,80,tcp,2015-01-22 20:00:01,Benign,0
175.45.176.1,48549,149.171.126.9,32182,tcp,2015-01-22 20:00:02,Benign,0
175.45.176.1,42910,149.171.126.4,49788,tcp,2015-01-22 20:00:02,Benign,0
175.45.176.1,48431,149.171.126.5,3360,tcp,2015-01-22 20:00:02,Benign,0
175.45.176.3,39209,149.171.126.4,80,tcp,2015-01-22 20:00:02,Benign,0
175.45.176.1,52088,149.171.126.6,58253,tcp,2015-01-22 20:00:03,Benign,0
59.166.0.4,26792,149.171.126.9,27976,tcp,2015-01-22 20:00:03,Benign,0
59.166.0.4,55291,149.171.126.9,13142,tcp,2015-01-22 20:00:03,Benign,0
175.45.176.3,40903,149.171.126.3,143,tcp,2015-01-22 20:00:02,Benign,0
175.45.176.0,24025,149.171.126.9,5190,tcp,2015-01-22 20:00:03,Benign,0
59.166.0.7,25224,149.171.126.7,59295,tcp,2015-01-22 20:00:03,Benign,0
59.166.0.7,27000,149.171.126.4,5190,tcp,2015-01-22 20:00:03,Benign,0
59.166.0.9,59558,149.171.126.0,5190,tcp,2015-01-22 20:00:03,Benign,0
59.166.0.4,28480,149.171.126.9,35397,tcp,2015-01-22 20:00:03,Benign,0
59.166.0.5,25619,149.171.126.7,9620,tcp,2015-01-22 20:00:03,Benign,0
59.166.0.5,60587,149.171.126.7,7644,tcp,2015-01-22 20:00:03,Benign,0
59.166.0.6,53885,149.171.126.3,30383,udp,2015-01-22 20:00:03,Benign,0
59.166.0.9,41741,149.171.126.1,25,tcp,2015-01-22 20:00:02,Benign,0
59.166.0.4,25833,149.171.126.9,21,tcp,2015-01-22 20:00:03,Benign,0
59.166.0.5,21976,149.171.126.1,53,udp,2015-01-22 20:00:03,Benign,0
59.166.0.9,34479,149.171.126.0,5190,tcp,2015-01-22 20:00:03,Benign,0
175.45.176.1,28941,149.171.126.7,25014,tcp,2015-01-22 20:00:03,Benign,0
175.45.176.3,15901,149.171.126.8,34948,tcp,2015-01-22 20:00:03,Benign,0
175.45.176.3,17498,149.171.126.6,15490,tcp,2015-01-22 20:00:03,Benign,0
59.166.0.4,58976,149.171.126.7,53,udp,2015-01-22 20:00:03,Benign,0
59.166.0.6,50434,149.171.126.3,111,udp,2015-01-22 20:00:03,Benign,0
59.166.0.7,61729,149.171.126.0,17321,tcp,2015-01-22 20:00:03,Benign,0
175.45.176.0,13547,149.171.126.1,14922,tcp,2015-01-22 20:00:04,Benign,0
59.166.0.8,10683,149.171.126.3,12494,tcp,2015-01-22 20:00:04,Benign,0
59.166.0.5,23825,149.171.126.7,21,tcp,2015-01-22 20:00:03,Benign,0
59.166.0.5,56259,149.171.126.7,17751,tcp,2015-01-22 20:00:03,Benign,0
59.166.0.6,33389,149.171.126.3,53688,tcp,2015-01-22 20:00:03,Benign,0
175.45.176.1,35092,149.171.126.3,12355,tcp,2015-01-22 20:00:04,Benign,0
59.166.0.7,46094,149.171.126.0,5190,tcp,2015-01-22 20:00:04,Benign,0
59.166.0.9,32953,149.171.126.1,5190,tcp,2015-01-22 20:00:04,Benign,0
59.166.0.6,40323,149.171.126.5,38898,tcp,2015-01-22 20:00:04,Benign,0
59.166.0.6,7814,149.171.126.9,43830,tcp,2015-01-22 20:00:04,Benign,0
59.166.0.6,39616,149.171.126.5,111,udp,2015-01-22 20:00:04,Benign,0
59.166.0.6,43660,149.171.126.5,5190,tcp,2015-01-22 20:00:04,Benign,0
175.45.176.1,34602,149.171.126.0,13112,tcp,2015-01-22 20:00:04,Benign,0
59.166.0.6,11435,149.171.126.5,7614,udp,2015-01-22 20:00:04,Benign,0
59.166.0.6,6624,149.171.126.2,53,udp,2015-01-22 20:00:04,Benign,0
59.166.0.6,6360,149.171.126.7,52666,tcp,2015-01-22 20:00:04,Benign,0
59.166.0.8,12553,149.171.126.8,37923,tcp,2015-01-22 20:00:04,Benign,0
175.45.176.3,51801,149.171.126.2,51369,udp,2015-01-22 20:00:05,Benign,0
59.166.0.4,56234,149.171.126.5,54906,udp,2015-01-22 20:00:05,Benign,0
59.166.0.7,53678,149.171.126.4,5190,tcp,2015-01-22 20:00:05,Benign,0
59.166.0.4,27726,149.171.126.5,56059,tcp,2015-01-22 20:00:05,Benign,0
59.166.0.6,2723,149.171.126.5,52908,tcp,2015-01-22 20:00:05,Benign,0
175.45.176.2,20635,149.171.126.6,111,udp,2015-01-22 20:00:05,Benign,0
59.166.0.6,60862,149.171.126.6,23068,tcp,2015-01-22 20:00:05,Benign,0
175.45.176.1,56570,149.171.126.0,27689,udp,2015-01-22 20:00:05,Benign,0
175.45.176.3,51132,149.171.126.5,29741,tcp,2015-01-22 20:00:05,Benign,0
175.45.176.1,55001,149.171.126.0,111,udp,2015-01-22 20:00:05,Benign,0
175.45.176.2,59093,149.171.126.6,59881,tcp,2015-01-22 20:00:05,Benign,0
59.166.0.4,24985,149.171.126.5,111,udp,2015-01-22 20:00:05,Benign,0
59.166.0.5,26139,149.171.126.6,55191,tcp,2015-01-22 20:00:05,Benign,0
59.166.0.6,55080,149.171.126.9,23996,tcp,2015-01-22 20:00:05,Benign,0
175.45.176.0,15239,149.171.126.6,13164,tcp,2015-01-22 20:00:04,Benign,0
59.166.0.5,27866,149.171.126.8,55441,tcp,2015-01-22 20:00:05,Benign,0
175.45.176.2,60093,149.171.126.6,63223,udp,2015-01-22 20:00:05,Benign,0
175.45.176.0,17898,149.171.126.6,34500,tcp,2015-01-22 20:00:05,Benign,0
175.45.176.0,19375,149.171.126.9,17508,tcp,2015-01-22 20:00:05,Benign,0
175.45.176.3,51656,149.171.126.7,50638,tcp,2015-01-22 20:00:05,Benign,0
59.166.0.6,47274,149.171.126.6,50946,tcp,2015-01-22 20:00:05,Benign,0
59.166.0.4,11130,149.171.126.0,11727,tcp,2015-01-22 20:00:06,Benign,0
59.166.0.6,19700,149.171.126.2,5190,tcp,2015-01-22 20:00:06,Benign,0
59.166.0.9,2166,149.171.126.7,53,udp,2015-01-22 20:00:06,Benign,0
59.166.0.8,9986,149.171.126.6,46524,tcp,2015-01-22 20:00:06,Benign,0
175.45.176.1,51534,149.171.126.0,56389,tcp,2015-01-22 20:00:05,Benign,0
59.166.0.8,41606,149.171.126.8,39262,tcp,2015-01-22 20:00:06,Benign,0
59.166.0.5,35492,149.171.126.0,5190,tcp,2015-01-22 20:00:06,Benign,0
175.45.176.3,36050,149.171.126.1,53,udp,2015-01-22 20:00:06,Benign,0
59.166.0.6,14968,149.171.126.5,25,tcp,2015-01-22 20:00:06,Benign,0
59.166.0.9,44130,149.171.126.1,5190,tcp,2015-01-22 20:00:06,Benign,0
59.166.0.6,41885,149.171.126.6,53,udp,2015-01-22 20:00:06,Benign,0
59.166.0.7,16350,149.171.126.3,33881,tcp,2015-01-22 20:00:06,Benign,0
59.166.0.7,34285,149.171.126.7,40064,tcp,2015-01-22 20:00:06,Benign,0
175.45.176.3,56461,149.171.126.2,111,udp,2015-01-22 20:00:05,Benign,0
175.45.176.3,50810,149.171.126.2,30122,tcp,2015-01-22 20:00:06,Benign,0
59.166.0.4,40253,149.171.126.1,38370,tcp,2015-01-22 20:00:06,Benign,0
59.166.0.9,49977,149.171.126.2,80,tcp,2015-01-22 20:00:06,Benign,0
59.166.0.7,57117,149.171.126.8,55260,tcp,2015-01-22 20:00:07,Benign,0
175.45.176.0,26205,149.171.126.4,30212,tcp,2015-01-22 20:00:07,Benign,0
59.166.0.7,30921,149.171.126.4,29078,tcp,2015-01-22 20:00:07,Benign,0
175.45.176.3,18255,149.171.126.6,80,tcp,2015-01-22 20:00:06,Benign,0
59.166.0.7,32864,149.171.126.1,30741,tcp,2015-01-22 20:00:07,Benign,0
175.45.176.0,1553,149.171.126.3,25,tcp,2015-01-22 20:00:07,Benign,0
175.45.176.0,21762,149.171.126.6,53,udp,2015-01-22 20:00:07,Benign,0
59.166.0.5,57670,149.171.126.7,37649,tcp,2015-01-22 20:00:07,Benign,0
59.166.0.7,46414,149.171.126.4,1620,tcp,2015-01-22 20:00:07,Benign,0
59.166.0.7,47884,149.171.126.9,32407,tcp,2015-01-22 20:00:07,Benign,0
175.45.176.0,27823,149.171.126.6,55508,tcp,2015-01-22 20:00:07,Benign,0
59.166.0.8,27934,149.171.126.0,5190,tcp,2015-01-22 20:00:07,Benign,0
59.166.0.5,22193,149.171.126.7,80,tcp,2015-01-22 20:00:01,Benign,0
175.45.176.0,32505,149.171.126.0,53,udp,2015-01-22 20:00:07,Benign,0
175.45.176.0,59164,149.171.126.6,80,tcp,2015-01-22 20:00:07,Benign,0
59.166.0.5,30391,149.171.126.1,27137,tcp,2015-01-22 20:00:07,Benign,0
59.166.0.6,65030,149.171.126.8,53,udp,2015-01-22 20:00:07,Benign,0
175.45.176.3,46731,149.171.126.7,49889,tcp,2015-01-22 20:00:07,Benign,0
59.166.0.6,58458,149.171.126.4,80,tcp,2015-01-22 20:00:07,Benign,0
175.45.176.0,5332,149.171.126.9,50099,tcp,2015-01-22 20:00:08,Benign,0
175.45.176.0,23084,149.171.126.2,65004,tcp,2015-01-22 20:00:08,Benign,0
59.166.0.8,11085,149.171.126.0,53,udp,2015-01-22 20:00:08,Benign,0
59.166.0.8,13798,149.171.126.5,6881,tcp,2015-01-22 20:00:08,Benign,0
59.166.0.5,16859,149.171.126.3,22,tcp,2015-01-22 20:00:04,Benign,0
59.166.0.6,44999,149.171.126.8,80,tcp,2015-01-22 20:00:04,Benign,0
175.45.176.3,2245,149.171.126.2,22,tcp,2015-01-22 20:00:00,Benign,0
175.45.176.3,16143,149.171.126.4,35631,tcp,2015-01-22 20:00:08,Benign,0
59.166.0.5,8774,149.171.126.0,53,udp,2015-01-22 20:00:08,Benign,0
59.166.0.8,64273,149.171.126.5,6881,tcp,2015-01-22 20:00:08,Benign,0
175.45.176.0,21528,149.171.126.6,15960,tcp,2015-01-22 20:00:08,Benign,0
175.45.176.0,40023,149.171.126.8,42464,tcp,2015-01-22 20:00:08,Benign,0
175.45.176.0,6823,149.171.126.1,4920,tcp,2015-01-22 20:00:08,Benign,0
59.166.0.5,17153,149.171.126.3,25,tcp,2015-01-22 20:00:08,Benign,0
59.166.0.8,40420,149.171.126.2,80,tcp,2015-01-22 20:00:08,Benign,0
59.166.0.7,50073,149.171.126.5,48048,tcp,2015-01-22 20:00:07,Benign,0
175.45.176.3,48240,149.171.126.9,2335,tcp,2015-01-22 20:00:08,Benign,0
59.166.0.5,37235,149.171.126.3,53,udp,2015-01-22 20:00:08,Benign,0
59.166.0.5,49910,149.171.126.6,22,tcp,2015-01-22 20:00:06,Benign,0
175.45.176.3,33975,149.171.126.0,13770,tcp,2015-01-22 20:00:08,Benign,0
175.45.176.0,13946,149.171.126.3,11976,tcp,2015-01-22 20:00:08,Benign,0
59.166.0.5,14399,149.171.126.4,53,udp,2015-01-22 20:00:08,Benign,0
59.166.0.8,18981,149.171.126.0,5190,tcp,2015-01-22 20:00:08,Benign,0
59.166.0.5,10509,149.171.126.6,143,tcp,2015-01-22 20:00:08,Benign,0
175.45.176.2,55098,149.171.126.5,22872,udp,2015-01-22 20:00:09,Benign,0
