srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label,Timestamp
175.45.176.0,6055,149.171.126.5,54145,tcp,FIN,0.072974,4238,60788,31,29,7,30,-,458245.4375,6571546.5,72,72,255,255,1003293149,1003585034,59,844,0,0,62.04531,61.899776,1421955842,1421955842,1.02269,0.997042,0.002317,0.002173,0.000144,0,0,0.0,0.0,0,13,13,6,7,1,1,2,Benign,0,2015-01-22 19:44:02
175.45.176.0,7832,149.171.126.3,5607,tcp,FIN,0.144951,5174,91072,31,29,7,39,-,282412.6875,4971776.5,90,92,255,255,3152877672,1047439924,57,990,0,0,98.166675,97.062913,1421955842,1421955842,1.624562,1.587374,0.000665,0.000497,0.000168,0,0,0.0,0.0,0,13,13,6,7,1,1,2,Benign,0,2015-01-22 19:44:02
59.166.0.8,11397,149.171.126.6,21,tcp,FIN,0.116107,2934,3742,31,29,11,15,ftp,198299.8438,253076.9063,52,54,255,255,3208685093,3215278370,56,69,0,0,194.564141,4.796288,1421955842,1421955842,2.31466,2.149906,0.002342,0.002151,0.000191,0,0,0.0,1.0,1,1,2,7,5,1,1,4,Benign,0,2015-01-22 19:44:02
175.45.176.0,3804,149.171.126.3,53,udp,CON,0.000986,146,178,31,29,0,0,-,592292.0625,722109.5,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421955842,1421955842,0.011,0.009,0.0,0.0,0.0,0,0,0.0,0.0,0,13,13,6,7,1,1,2,Benign,0,2015-01-22 19:44:02
59.166.0.8,14339,149.171.126.6,14724,tcp,FIN,0.03848,8928,320,31,29,4,1,-,1723700.625,55509.35547,14,6,255,255,1063301791,1113098865,638,53,0,0,245.278645,11.454426,1421955842,1421955842,2.96,6.054,0.008268,0.008075,0.000193,0,0,0.0,0.0,0,8,20,7,5,1,1,4,Benign,0,2015-01-22 19:44:02
59.166.0.8,39094,149.171.126.3,53,udp,CON,0.001026,130,162,31,29,0,0,-,506822.5938,631578.9375,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421955842,1421955842,0.01,0.002,0.0,0.0,0.0,0,0,0.0,0.0,0,8,13,6,5,1,1,1,Benign,0,2015-01-22 19:44:02
175.45.176.0,10845,149.171.126.7,5190,tcp,FIN,0.005645,1064,2260,31,29,4,4,-,1383171.0,2936404.0,12,12,255,255,3332873586,3333118514,89,188,0,0,26.861513,0.567548,1421955842,1421955842,0.481091,0.463909,0.000685,0.000536,0.000149,0,0,0.0,0.0,0,13,9,1,7,2,1,1,Benign,0,2015-01-22 19:44:02
175.45.176.3,45642,149.171.126.5,80,tcp,FIN,0.020018,1036,824,31,29,2,2,-,362473.7813,296533.125,8,10,255,255,823302054,2971657685,130,82,1,83,161.021453,3.943935,1421955842,1421955842,2.809286,2.170889,0.000615,0.000477,0.000138,0,0,1.0,0.0,0,18,13,6,5,2,1,1,Benign,0,2015-01-22 19:44:02
59.166.0.4,1931,149.171.126.6,6881,tcp,FIN,3.27602,13766,548216,31,29,21,197,-,33477.20703,1335681.75,240,438,255,255,3380365896,1235369261,57,1252,0,0,4187.788536,3094.050117,1421955839,1421955842,13.705833,7.495552,0.000594,0.000461,0.000133,0,0,0.0,0.0,0,12,20,7,2,1,1,1,Benign,0,2015-01-22 19:43:59
59.166.0.8,25724,149.171.126.6,5190,tcp,FIN,0.153293,1272,2572,31,29,4,4,-,62259.85547,126815.9688,16,18,255,255,1663293473,3808969536,80,143,0,0,582.398613,14.825684,1421955843,1421955843,10.1946,8.984412,0.000701,0.000548,0.000153,0,0,0.0,0.0,0,8,20,2,1,1,1,1,Benign,0,2015-01-22 19:44:03
