hour,Fuzzers,Reconnaissance,Shellcode,Analysis,Backdoor,Benign,DoS,Exploits,Generic,Worms
2015-01-22 19:00:00,0,0,0,0,0,20216,0,0,0,0
2015-01-22 20:00:00,0,0,0,0,0,81575,0,0,0,0
2015-01-22 21:00:00,0,0,0,0,0,86092,0,0,0,0
2015-01-22 22:00:00,0,0,0,0,0,79546,0,0,0,0
2015-01-22 23:00:00,0,0,0,0,0,85433,0,0,0,0
2015-01-23 0:00:00,0,0,0,0,0,34340,0,0,0,0
2015-02-18 0:00:00,373,156,20,3,8,15590,88,414,55,3
2015-02-18 1:00:00,1206,1105,105,254,282,83635,2340,3812,11611,14
2015-02-18 2:00:00,1890,909,113,96,55,86334,422,2381,6140,10
2015-02-18 3:00:00,1199,946,86,255,25,74491,1787,4496,10077,13
