srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label,Timestamp
175.45.176.1,2723,149.171.126.7,6881,tcp,FIN,0.013359,1540,1644,31,29,4,4,-,864735.375,930009.75,16,18,255,255,3040543945,897091152,96,91,0,0,59.57324,1.392966,1421971200,1421971200,0.869667,0.758,0.00059,0.000469,0.000121,0,0,0.0,0.0,0,8,2,2,3,2,1,2,Benign,0,2015-01-23 00:00:00
175.45.176.1,54201,149.171.126.6,53,udp,CON,0.001,132,164,31,29,0,0,dns,528000.0,656000.0,2,2,0,0,0,0,66,82,0,0,0.0,0.0,1421971200,1421971200,0.011,0.005,0.0,0.0,0.0,0,0,0.0,0.0,0,3,2,1,3,1,1,1,Benign,0,2015-01-23 00:00:00
59.166.0.7,2058,149.171.126.8,6881,tcp,FIN,0.019023,1540,1644,31,29,4,4,-,607264.9375,653104.1875,16,18,255,255,530973362,2681644524,96,91,0,0,75.665457,2.128875,1421971200,1421971200,1.246667,1.090706,0.000618,0.000477,0.000141,0,0,0.0,0.0,0,4,10,2,3,2,1,2,Benign,0,2015-01-23 00:00:00
59.166.0.7,29924,149.171.126.2,80,tcp,FIN,0.004047,1056,824,31,29,2,2,http,1826538.25,1466765.5,8,10,255,255,530968115,532040444,132,82,1,83,33.172776,0.68491,1421971200,1421971200,0.530714,0.386667,0.000756,0.000562,0.000194,0,0,1.0,0.0,0,1,4,1,3,1,1,1,Benign,0,2015-01-23 00:00:00
59.166.0.7,30969,149.171.126.8,6881,tcp,FIN,0.014109,1540,1644,31,29,4,4,-,818768.1875,880572.6875,16,18,255,255,2676355901,2686931330,96,91,0,0,63.020456,1.465967,1421971200,1421971200,0.919867,0.802294,0.000619,0.000463,0.000156,0,0,0.0,0.0,0,4,10,2,3,2,1,2,Benign,0,2015-01-23 00:00:00
175.45.176.1,43123,149.171.126.7,6881,tcp,FIN,0.018233,1540,1644,31,29,4,4,-,633576.5,681401.875,16,18,255,255,890965829,895408469,96,91,0,0,72.640191,2.133084,1421971200,1421971200,1.1952,1.046882,0.00056,0.000432,0.000128,0,0,0.0,0.0,0,8,2,2,3,2,1,2,Benign,0,2015-01-23 00:00:00
175.45.176.1,4359,149.171.126.7,6881,tcp,FIN,0.018221,1540,1644,31,29,4,4,-,633993.75,681850.625,16,18,255,255,3040545727,3044492543,96,91,0,0,72.150061,2.210791,1421971200,1421971200,1.1944,1.043118,0.000606,0.000481,0.000125,0,0,0.0,0.0,0,17,14,14,16,11,1,11,Benign,0,2015-01-23 00:00:00
175.45.176.1,48078,149.171.126.7,6881,tcp,FIN,0.018674,1540,1644,31,29,4,4,-,618614.125,665310.0625,16,18,255,255,710967965,715959774,96,91,0,0,74.354933,2.10601,1421971200,1421971200,1.2238,1.071059,0.000586,0.000462,0.000124,0,0,0.0,0.0,0,17,14,14,16,11,1,11,Benign,0,2015-01-23 00:00:00
175.45.176.1,49164,149.171.126.8,53,udp,CON,0.001007,146,178,31,29,0,0,dns,579940.4375,707050.6875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421971200,1421971200,0.011,0.006,0.0,0.0,0.0,0,0,0.0,0.0,0,7,5,7,16,3,1,2,Benign,0,2015-01-23 00:00:00
175.45.176.1,6775,149.171.126.7,6881,tcp,FIN,0.01827,1540,1644,31,29,4,4,-,632293.375,680021.875,16,18,255,255,890967338,896502703,96,91,0,0,73.428816,1.991629,1421971200,1421971200,1.196,1.045294,0.00063,0.000496,0.000134,0,0,0.0,0.0,0,17,14,14,16,11,1,11,Benign,0,2015-01-23 00:00:00
