srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label,Timestamp
149.171.126.14,179,175.45.176.3,33159,tcp,FIN,0.121478,258,172,252,254,0,0,-,14158.94238,8495.365234,6,4,255,255,621772692,2202533631,43,43,0,0,30.177547,11.830604,1424219008,1424219008,24.2956,8.375,0.0,0.0,0.0,0,0,,, ,1,1,1,1,1,1,1,Benign,0,2015-02-18 00:23:28
175.45.176.0,7302,149.171.126.18,80,tcp,FIN,0.536452,950,354,254,252,2,1,http,12750.44238,4622.967285,10,8,255,255,1130458990,1523315756,95,44,1,0,3593.232271,124.764445,1424219039,1424219039,59.605778,69.782141,0.104319,0.04736,0.056959,0,1,1.0,, ,6,3,1,1,1,1,2,Exploits,1,2015-02-18 00:23:59
10.40.85.1,0,10.40.85.30,0,arp,CON,39.666687,56,92,0,0,0,0,-,5.647056,9.277307,2,2,0,0,0,0,28,46,0,0,0.0,12.596281,1424219009,1424219049,39666.52,39666.576,0.0,0.0,0.0,0,0,,, ,2,1,1,1,1,1,1,Benign,0,2015-02-18 00:23:29
10.40.182.3,0,10.40.182.3,0,arp,INT,0.0,46,0,0,0,0,0,-,0.0,0.0,1,0,0,0,0,0,46,0,0,0,0.0,0.0,1424219051,1424219051,0.0,0.0,0.0,0.0,0.0,1,2,,, ,1,2,1,1,1,1,1,Benign,0,2015-02-18 00:24:11
10.40.170.2,0,10.40.170.2,0,arp,INT,0.0,46,0,0,0,0,0,-,0.0,0.0,1,0,0,0,0,0,46,0,0,0,0.0,0.0,1424219051,1424219051,0.0,0.0,0.0,0.0,0.0,1,2,,, ,1,1,1,1,1,1,1,Benign,0,2015-02-18 00:24:11
175.45.176.0,0,149.171.126.12,0,ospf,INT,0.921987,1280,0,254,0,0,0,-,10551.125,0.0,20,0,0,0,0,0,64,0,0,0,52.253805,0.0,1424219060,1424219060,48.525633,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,1,1,1,2, Reconnaissance ,1,2015-02-18 00:24:20
175.45.176.0,0,149.171.126.12,0,ospf,INT,0.921987,1280,0,254,0,0,0,-,10551.125,0.0,20,0,0,0,0,0,64,0,0,0,52.253805,0.0,1424219060,1424219060,48.525633,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,1,1,1,2, Reconnaissance ,1,2015-02-18 00:24:20
175.45.176.0,0,149.171.126.12,0,ospf,INT,0.921987,1280,0,254,0,0,0,-,10551.125,0.0,20,0,0,0,0,0,64,0,0,0,52.253805,0.0,1424219060,1424219060,48.525633,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,1,1,1,2,Backdoor,1,2015-02-18 00:24:20
175.45.176.0,0,149.171.126.12,0,ospf,INT,0.921987,1280,0,254,0,0,0,-,10551.125,0.0,20,0,0,0,0,0,64,0,0,0,52.253805,0.0,1424219060,1424219060,48.525633,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,1,1,1,2,DoS,1,2015-02-18 00:24:20
175.45.176.0,0,149.171.126.12,0,ospf,INT,0.921987,1280,0,254,0,0,0,-,10551.125,0.0,20,0,0,0,0,0,64,0,0,0,52.253805,0.0,1424219060,1424219060,48.525633,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,1,1,1,2,Exploits,1,2015-02-18 00:24:20
175.45.176.0,0,149.171.126.12,0,ospf,INT,0.921987,1280,0,254,0,0,0,-,10551.125,0.0,20,0,0,0,0,0,64,0,0,0,52.253805,0.0,1424219060,1424219060,48.525633,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,1,1,1,2,Exploits,1,2015-02-18 00:24:20
175.45.176.0,0,149.171.126.12,0,ospf,INT,0.921987,1280,0,254,0,0,0,-,10551.125,0.0,20,0,0,0,0,0,64,0,0,0,52.253805,0.0,1424219060,1424219060,48.525633,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,1,1,1,2,DoS,1,2015-02-18 00:24:20
175.45.176.0,0,149.171.126.12,0,ospf,INT,0.921987,1280,0,254,0,0,0,-,10551.125,0.0,20,0,0,0,0,0,64,0,0,0,52.253805,0.0,1424219060,1424219060,48.525633,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,1,1,1,2,Exploits,1,2015-02-18 00:24:20
175.45.176.0,0,149.171.126.12,0,ospf,INT,0.921987,1280,0,254,0,0,0,-,10551.125,0.0,20,0,0,0,0,0,64,0,0,0,52.253805,0.0,1424219060,1424219060,48.525633,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,1,1,1,2,Exploits,1,2015-02-18 00:24:20
175.45.176.0,0,149.171.126.12,0,ospf,INT,0.921987,1280,0,254,0,0,0,-,10551.125,0.0,20,0,0,0,0,0,64,0,0,0,52.253805,0.0,1424219060,1424219060,48.525633,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,1,1,1,2,DoS,1,2015-02-18 00:24:20
175.45.176.0,0,149.171.126.12,0,ospf,INT,0.921987,1280,0,254,0,0,0,-,10551.125,0.0,20,0,0,0,0,0,64,0,0,0,52.253805,0.0,1424219060,1424219060,48.525633,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,1,1,1,2,Generic,1,2015-02-18 00:24:20
175.45.176.0,0,149.171.126.12,0,ospf,INT,0.921987,1280,0,254,0,0,0,-,10551.125,0.0,20,0,0,0,0,0,64,0,0,0,52.253805,0.0,1424219060,1424219060,48.525633,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,1,1,1,2,DoS,1,2015-02-18 00:24:20
175.45.176.0,0,149.171.126.12,0,ospf,INT,0.921987,1280,0,254,0,0,0,-,10551.125,0.0,20,0,0,0,0,0,64,0,0,0,52.253805,0.0,1424219060,1424219060,48.525633,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,1,1,1,2,DoS,1,2015-02-18 00:24:20
175.45.176.0,0,149.171.126.12,0,ospf,INT,0.921987,1280,0,254,0,0,0,-,10551.125,0.0,20,0,0,0,0,0,64,0,0,0,52.253805,0.0,1424219060,1424219060,48.525633,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,1,1,1,2,Exploits,1,2015-02-18 00:24:20
175.45.176.0,0,149.171.126.12,0,ospf,INT,0.921987,1280,0,254,0,0,0,-,10551.125,0.0,20,0,0,0,0,0,64,0,0,0,52.253805,0.0,1424219060,1424219060,48.525633,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,1,1,1,2,Exploits,1,2015-02-18 00:24:20
175.45.176.0,0,149.171.126.12,0,ospf,INT,0.921987,1280,0,254,0,0,0,-,10551.125,0.0,20,0,0,0,0,0,64,0,0,0,52.253805,0.0,1424219060,1424219060,48.525633,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,1,1,1,2, Fuzzers ,1,2015-02-18 00:24:20
175.45.176.0,0,149.171.126.12,0,ospf,INT,0.921987,1280,0,254,0,0,0,-,10551.125,0.0,20,0,0,0,0,0,64,0,0,0,52.253805,0.0,1424219060,1424219060,48.525633,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,1,1,1,2,DoS,1,2015-02-18 00:24:20
175.45.176.0,0,149.171.126.12,0,ospf,INT,0.921987,1280,0,254,0,0,0,-,10551.125,0.0,20,0,0,0,0,0,64,0,0,0,52.253805,0.0,1424219060,1424219060,48.525633,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,1,1,1,2,DoS,1,2015-02-18 00:24:20
175.45.176.0,0,149.171.126.12,0,ospf,INT,0.921987,1280,0,254,0,0,0,-,10551.125,0.0,20,0,0,0,0,0,64,0,0,0,52.253805,0.0,1424219060,1424219060,48.525633,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,1,1,1,2,Exploits,1,2015-02-18 00:24:20
175.45.176.0,0,149.171.126.12,0,ospf,INT,0.921987,1280,0,254,0,0,0,-,10551.125,0.0,20,0,0,0,0,0,64,0,0,0,52.253805,0.0,1424219060,1424219060,48.525633,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,1,1,1,2,Exploits,1,2015-02-18 00:24:20
10.40.85.1,0,224.0.0.5,0,ospf,INT,50.004398,384,0,1,0,0,0,-,51.195496,0.0,6,0,0,0,0,0,64,0,0,0,0.0,0.0,1424219011,1424219061,10000.88,0.0,0.0,0.0,0.0,0,0,,, ,2,2,2,1,1,2,1,Benign,0,2015-02-18 00:23:31
10.40.182.1,0,224.0.0.5,0,ospf,INT,50.004398,384,0,1,0,0,0,-,51.195496,0.0,6,0,0,0,0,0,64,0,0,0,0.0,0.0,1424219011,1424219061,10000.88,0.0,0.0,0.0,0.0,0,0,,, ,2,2,2,1,1,2,1,Benign,0,2015-02-18 00:23:31
10.40.182.1,0,10.40.182.3,0,arp,CON,42.044567,56,92,0,0,0,0,-,5.32768,8.752617,2,2,0,0,0,0,28,46,0,0,0.0,0.0,1424219023,1424219065,42043.472,42043.552,0.0,0.0,0.0,0,0,,, ,2,2,1,1,1,1,1,Benign,0,2015-02-18 00:23:43
10.40.85.30,0,10.40.85.1,0,arp,CON,30.984749,184,112,0,0,0,0,-,35.630432,21.688089,4,4,0,0,0,0,46,28,0,0,14606.326,14606.334,1424219035,1424219066,10328.249,10328.246,0.0,0.0,0.0,0,0,,, ,1,1,1,1,1,1,1,Benign,0,2015-02-18 00:23:55
175.45.176.3,65367,149.171.126.14,514,udp,INT,1.1e-05,754,0,254,0,0,0,-,274181824.0,0.0,2,0,0,0,0,0,377,0,0,0,0.0,0.0,1424219067,1424219067,0.011,0.0,0.0,0.0,0.0,0,2,,, ,43,39,10,10,10,2,40, Fuzzers ,1,2015-02-18 00:24:27
175.45.176.3,65367,149.171.126.14,514,udp,INT,1.1e-05,754,0,254,0,0,0,-,274181824.0,0.0,2,0,0,0,0,0,377,0,0,0,0.0,0.0,1424219067,1424219067,0.011,0.0,0.0,0.0,0.0,0,2,,, ,43,39,10,10,10,2,40, Fuzzers ,1,2015-02-18 00:24:27
175.45.176.1,0,149.171.126.17,0,sctp,INT,9e-06,104,0,254,0,0,0,-,46222220.0,0.0,2,0,0,0,0,0,52,0,0,0,0.0,0.0,1424219068,1424219068,0.009,0.0,0.0,0.0,0.0,0,2,,, ,1,1,2,1,1,1,2,Exploits,1,2015-02-18 00:24:28
175.45.176.1,0,149.171.126.17,0,sctp,INT,9e-06,104,0,254,0,0,0,-,46222220.0,0.0,2,0,0,0,0,0,52,0,0,0,0.0,0.0,1424219068,1424219068,0.009,0.0,0.0,0.0,0.0,0,2,,, ,1,1,2,1,1,1,2,DoS,1,2015-02-18 00:24:28
175.45.176.1,0,149.171.126.17,0,sctp,INT,9e-06,104,0,254,0,0,0,-,46222220.0,0.0,2,0,0,0,0,0,52,0,0,0,0.0,0.0,1424219068,1424219068,0.009,0.0,0.0,0.0,0.0,0,2,,, ,1,1,2,1,1,1,2,DoS,1,2015-02-18 00:24:28
175.45.176.1,0,149.171.126.17,0,sctp,INT,9e-06,104,0,254,0,0,0,-,46222220.0,0.0,2,0,0,0,0,0,52,0,0,0,0.0,0.0,1424219068,1424219068,0.009,0.0,0.0,0.0,0.0,0,2,,, ,1,1,2,1,1,1,2,DoS,1,2015-02-18 00:24:28
175.45.176.1,0,149.171.126.17,0,sctp,INT,9e-06,104,0,254,0,0,0,-,46222220.0,0.0,2,0,0,0,0,0,52,0,0,0,0.0,0.0,1424219068,1424219068,0.009,0.0,0.0,0.0,0.0,0,2,,, ,1,1,2,1,1,1,2, Reconnaissance ,1,2015-02-18 00:24:28
175.45.176.1,0,149.171.126.17,0,sctp,INT,9e-06,104,0,254,0,0,0,-,46222220.0,0.0,2,0,0,0,0,0,52,0,0,0,0.0,0.0,1424219068,1424219068,0.009,0.0,0.0,0.0,0.0,0,2,,, ,1,1,2,1,1,1,2, Reconnaissance ,1,2015-02-18 00:24:28
175.45.176.1,0,149.171.126.17,0,sctp,INT,9e-06,104,0,254,0,0,0,-,46222220.0,0.0,2,0,0,0,0,0,52,0,0,0,0.0,0.0,1424219068,1424219068,0.009,0.0,0.0,0.0,0.0,0,2,,, ,1,1,2,1,1,1,2,DoS,1,2015-02-18 00:24:28
175.45.176.1,0,149.171.126.17,0,sctp,INT,9e-06,104,0,254,0,0,0,-,46222220.0,0.0,2,0,0,0,0,0,52,0,0,0,0.0,0.0,1424219068,1424219068,0.009,0.0,0.0,0.0,0.0,0,2,,, ,1,1,2,1,1,1,2,DoS,1,2015-02-18 00:24:28
175.45.176.1,0,149.171.126.17,0,sctp,INT,9e-06,104,0,254,0,0,0,-,46222220.0,0.0,2,0,0,0,0,0,52,0,0,0,0.0,0.0,1424219068,1424219068,0.009,0.0,0.0,0.0,0.0,0,2,,, ,1,1,2,1,1,1,2,Exploits,1,2015-02-18 00:24:28
175.45.176.1,0,149.171.126.17,0,sctp,INT,9e-06,104,0,254,0,0,0,-,46222220.0,0.0,2,0,0,0,0,0,52,0,0,0,0.0,0.0,1424219068,1424219068,0.009,0.0,0.0,0.0,0.0,0,2,,, ,1,1,2,1,1,1,2, Fuzzers ,1,2015-02-18 00:24:28
175.45.176.1,0,149.171.126.17,0,sctp,INT,9e-06,104,0,254,0,0,0,-,46222220.0,0.0,2,0,0,0,0,0,52,0,0,0,0.0,0.0,1424219068,1424219068,0.009,0.0,0.0,0.0,0.0,0,2,,, ,1,1,2,1,1,1,2,Analysis,1,2015-02-18 00:24:28
175.45.176.1,0,149.171.126.17,0,sctp,INT,9e-06,104,0,254,0,0,0,-,46222220.0,0.0,2,0,0,0,0,0,52,0,0,0,0.0,0.0,1424219068,1424219068,0.009,0.0,0.0,0.0,0.0,0,2,,, ,1,1,2,1,1,1,2,DoS,1,2015-02-18 00:24:28
175.45.176.1,0,149.171.126.17,0,sctp,INT,9e-06,104,0,254,0,0,0,-,46222220.0,0.0,2,0,0,0,0,0,52,0,0,0,0.0,0.0,1424219068,1424219068,0.009,0.0,0.0,0.0,0.0,0,2,,, ,1,1,2,1,1,1,2,DoS,1,2015-02-18 00:24:28
175.45.176.1,0,149.171.126.17,0,sctp,INT,9e-06,104,0,254,0,0,0,-,46222220.0,0.0,2,0,0,0,0,0,52,0,0,0,0.0,0.0,1424219068,1424219068,0.009,0.0,0.0,0.0,0.0,0,2,,, ,1,1,2,1,1,1,2,DoS,1,2015-02-18 00:24:28
175.45.176.1,0,149.171.126.17,0,sctp,INT,9e-06,104,0,254,0,0,0,-,46222220.0,0.0,2,0,0,0,0,0,52,0,0,0,0.0,0.0,1424219068,1424219068,0.009,0.0,0.0,0.0,0.0,0,2,,, ,1,1,2,1,1,1,2,Exploits,1,2015-02-18 00:24:28
