Src IP Addr, Fuzzers , Reconnaissance , Shellcode ,Analysis,Backdoor,Benign,DoS,Exploits,Generic,Worms
10.40.170.2,0,0,0,0,0,99,0,0,0,0
10.40.182.1,0,0,0,0,0,187,0,0,0,0
10.40.182.3,0,0,0,0,0,101,0,0,0,0
10.40.182.6,0,0,0,0,0,481,0,0,0,0
10.40.85.1,0,0,0,0,0,190,0,0,0,0
10.40.85.10,0,0,0,0,0,132,0,0,0,0
10.40.85.30,0,0,0,0,0,101,0,0,0,0
149.171.126.0,0,0,0,0,0,1,0,0,0,0
149.171.126.11,0,0,0,0,0,1,0,0,0,0
149.171.126.12,0,0,0,0,0,5522,0,0,0,0
149.171.126.13,0,0,0,0,0,3,0,0,0,0
149.171.126.15,0,0,0,0,0,1,0,0,0,0
149.171.126.17,0,0,0,0,0,5,0,0,0,0
149.171.126.18,0,0,0,0,0,10912,0,0,0,0
149.171.126.19,0,0,0,0,0,5,0,0,0,0
149.171.126.3,0,0,0,0,0,2,0,0,0,0
149.171.126.4,0,0,0,0,0,1,0,0,0,0
149.171.126.8,0,0,0,0,0,1,0,0,0,0
175.45.176.0,681,392,48,4,28,13795,230,1024,5966,4
175.45.176.1,844,413,49,89,26,13870,179,1117,147,5
175.45.176.2,834,386,50,2,13,14226,132,967,138,8
175.45.176.3,730,664,52,256,13,13952,1668,3769,9966,6
59.166.0.4,0,0,0,0,0,13905,0,0,0,0
59.166.0.5,0,0,0,0,0,14212,0,0,0,0
59.166.0.6,0,0,0,0,0,13039,0,0,0,0
59.166.0.7,0,0,0,0,0,13557,0,0,0,0
59.166.0.8,0,0,0,0,0,13581,0,0,0,0
59.166.0.9,0,0,0,0,0,13663,0,0,0,0
