alpha_anom,mode,attack,run_id
0.1,incremental,DoS,2025-12-19T03-08-47_incremental_fgm5g11a
0.1,incremental,DoS,2025-12-19T03-11-43_incremental_81xrlm62
0.1,incremental,DoS,2025-12-19T03-14-39_incremental_kctnk1oe
0.3,incremental,DoS,2025-12-19T03-17-34_incremental_w0xb99j9
0.3,incremental,DoS,2025-12-19T03-20-26_incremental_jxw8p8ko
0.3,incremental,DoS,2025-12-19T03-23-13_incremental_kh75c3hl
0.3,incremental,DoS,2025-12-19T03-26-03_incremental_5pgaggtd
0.3,incremental,DoS,2025-12-19T03-28-51_incremental_qipv7zoa
0.5,incremental,DoS,2025-12-19T03-31-39_incremental_6rrik7ym
0.5,incremental,DoS,2025-12-19T03-34-32_incremental_t8xro8e7
0.5,incremental,DoS,2025-12-19T03-37-21_incremental_3w5wk1a4
0.5,incremental,DoS,2025-12-19T03-40-09_incremental_gv222xve
0.5,incremental,DoS,2025-12-19T03-42-57_incremental_a9ui3z4b
1.0,incremental,DoS,2025-12-19T03-45-45_incremental_o24pt8h8
1.0,incremental,DoS,2025-12-19T03-48-32_incremental_fsyxs7dm
1.0,incremental,DoS,2025-12-19T03-51-22_incremental_alxz0c56
1.0,incremental,DoS,2025-12-19T03-54-09_incremental_bp91iq26
1.0,incremental,DoS,2025-12-19T03-56-57_incremental_f9b7xsrk
2.0,incremental,DoS,2025-12-19T03-59-54_incremental_zwgiwdim
2.0,incremental,DoS,2025-12-19T04-02-54_incremental_w7icxrpc
2.0,incremental,DoS,2025-12-19T04-05-50_incremental_vgr8cr7y
2.0,incremental,DoS,2025-12-19T04-08-47_incremental_i0m9rbpl
2.0,incremental,DoS,2025-12-19T04-11-43_incremental_9zh0q1hh
4.0,incremental,DoS,2025-12-19T04-14-38_incremental_6s6w3jy1
4.0,incremental,DoS,2025-12-19T04-17-34_incremental_pbk4run9
4.0,incremental,DoS,2025-12-19T04-20-32_incremental_5h1adyu3
4.0,incremental,DoS,2025-12-19T04-23-31_incremental_zihrxc8h
4.0,incremental,DoS,2025-12-19T04-26-35_incremental_mgtpywkf
6.0,incremental,DoS,2025-12-19T04-29-32_incremental_7nxu0oi0
6.0,incremental,DoS,2025-12-19T04-32-29_incremental_asbb7ek6
6.0,incremental,DoS,2025-12-19T04-35-32_incremental_sl75xlhl
6.0,incremental,DoS,2025-12-19T04-38-35_incremental_u588ns57
6.0,incremental,DoS,2025-12-19T04-41-36_incremental_gekz3u4m
8.0,incremental,DoS,2025-12-19T04-44-34_incremental_7a6dz425
8.0,incremental,DoS,2025-12-19T04-47-31_incremental_esrsa3md
8.0,incremental,DoS,2025-12-19T04-50-29_incremental_jtgeleut
