alpha_anom,mode,attack,run_id,Radius, normal_pull_lambda
0,incremental,DoS,2025-12-26T07-47-45_incremental_kz2hl10j,,0
0,incremental,DoS,2025-12-31T16-05-23_incremental_uf0w9zax,0.1,0
0,incremental,DoS,2025-12-31T16-08-38_incremental_bmewvmbv,0.25,0
0,incremental,DoS,2025-12-26T07-50-40_incremental_w1hj1d3l,0.5,0
0,incremental,DoS,2025-12-31T16-11-53_incremental_lkfizvfd,0.75,0
0,incremental,DoS,2025-12-26T07-53-42_incremental_m2ms1sru,1.0,0
0,incremental,DoS,2025-12-26T07-56-45_incremental_lcf1aitt,2.0,0
0,incremental,DoS,2025-12-26T07-59-44_incremental_x9p2d0hk,10.0,0
0,incremental,DoS,2025-12-26T08-02-45_incremental_e35zthxa,,0
0,incremental,DoS,2025-12-31T16-15-03_incremental_xb64osu9,0.1,0
0,incremental,DoS,2025-12-31T16-18-17_incremental_qhb8j76q,0.25,0
0,incremental,DoS,2025-12-26T08-05-39_incremental_eg00d6gv,0.5,0
0,incremental,DoS,2025-12-31T16-21-40_incremental_xgdiybde,0.75,0
0,incremental,DoS,2025-12-26T08-08-41_incremental_9ysna6bn,1.0,0
0,incremental,DoS,2025-12-26T08-11-42_incremental_wy4g4kk3,2.0,0
0,incremental,DoS,2025-12-26T08-14-42_incremental_angs17qp,10.0,0
0,incremental,DoS,2025-12-26T08-17-45_incremental_952ix6uo,,0
0,incremental,DoS,2025-12-31T16-25-06_incremental_nbmq7g7f,0.1,0
0,incremental,DoS,2025-12-31T16-28-34_incremental_55qoh1tl,0.25,0
0,incremental,DoS,2025-12-26T08-20-12_incremental_6io0onef,0.5,0
0,incremental,DoS,2025-12-31T16-32-02_incremental_b8leujs6,0.75,0
0,incremental,DoS,2025-12-26T08-22-48_incremental_lno4mhm9,1.0,0
0,incremental,DoS,2025-12-26T08-25-26_incremental_cn07xrr1,2.0,0
0,incremental,DoS,2025-12-26T08-28-01_incremental_ms89wih8,10.0,0
0,incremental,DoS,2025-12-26T08-30-37_incremental_82zqprf7,,0
0,incremental,DoS,2025-12-31T16-35-27_incremental_95krolzx,0.1,0
0,incremental,DoS,2025-12-31T16-38-37_incremental_il38zyld,0.25,0
0,incremental,DoS,2025-12-26T08-33-07_incremental_25wpi70d,0.5,0
0,incremental,DoS,2025-12-31T16-41-48_incremental_ky0fr9bx,0.75,0
0,incremental,DoS,2025-12-26T08-35-43_incremental_lao1v9ee,1.0,0
0,incremental,DoS,2025-12-26T08-38-20_incremental_jzrfdydt,2.0,0
0,incremental,DoS,2025-12-26T08-40-56_incremental_rx9jy8w8,10.0,0
0,incremental,DoS,2025-12-26T08-43-33_incremental_rzbp8bp0,,0
0,incremental,DoS,2025-12-31T16-44-58_incremental_7f92roah,0.1,0
0,incremental,DoS,2025-12-31T16-48-10_incremental_sn8yuowb,0.25,0
0,incremental,DoS,2025-12-26T08-46-02_incremental_ly3fk2gm,0.5,0
0,incremental,DoS,2025-12-31T16-51-20_incremental_tk2lrc1w,0.75,0
0,incremental,DoS,2025-12-26T08-48-38_incremental_4k9m4f4n,1.0,0
0,incremental,DoS,2025-12-26T08-51-14_incremental_e7j0dlj6,2.0,0
0,incremental,DoS,2025-12-26T08-53-50_incremental_ylxu4xmt,10.0,0
0,incremental,Analysis,2025-12-26T08-56-25_incremental_ffdfzqiz,,0
0,incremental,Analysis,2025-12-31T16-54-30_incremental_3m6gfb4r,0.1,0
0,incremental,Analysis,2025-12-31T16-57-45_incremental_9qmy2czr,0.25,0
0,incremental,Analysis,2025-12-26T08-58-55_incremental_hwmt56xr,0.5,0
0,incremental,Analysis,2025-12-31T17-00-58_incremental_vuh3w9i5,0.75,0
0,incremental,Analysis,2025-12-26T09-01-32_incremental_k28gykdc,1.0,0
0,incremental,Analysis,2025-12-26T09-04-12_incremental_arm78oyk,2.0,0
0,incremental,Analysis,2025-12-26T09-06-46_incremental_r6kzlzpj,10.0,0
0,incremental,Analysis,2025-12-26T09-09-24_incremental_dgpoeffc,,0
0,incremental,Analysis,2025-12-31T17-04-08_incremental_lq3y11p4,0.1,0
0,incremental,Analysis,2025-12-31T17-07-18_incremental_q8arrdo0,0.25,0
0,incremental,Analysis,2025-12-26T09-11-53_incremental_hwpaj465,0.5,0
0,incremental,Analysis,2025-12-31T17-10-30_incremental_ul9rolcx,0.75,0
0,incremental,Analysis,2025-12-26T09-14-30_incremental_7k1vsu2m,1.0,0
0,incremental,Analysis,2025-12-26T09-17-08_incremental_loc22lzd,2.0,0
0,incremental,Analysis,2025-12-26T09-19-46_incremental_p6idz5mk,10.0,0
0,incremental,Analysis,2025-12-26T09-22-23_incremental_5uxcn7mk,,0
0,incremental,Analysis,2025-12-31T17-13-40_incremental_4bjs5slv,0.1,0
0,incremental,Analysis,2025-12-31T17-16-52_incremental_bqvnsf0j,0.25,0
0,incremental,Analysis,2025-12-26T09-24-53_incremental_tbupfsni,0.5,0
0,incremental,Analysis,2025-12-31T17-20-05_incremental_b82xrs7m,0.75,0
0,incremental,Analysis,2025-12-26T09-27-29_incremental_zwe3clbt,1.0,0
0,incremental,Analysis,2025-12-26T09-30-07_incremental_hcyvyag1,2.0,0
0,incremental,Analysis,2025-12-26T09-32-42_incremental_fy7t4g1z,10.0,0
0,incremental,Analysis,2025-12-26T09-35-18_incremental_jjolf95v,,0
0,incremental,Analysis,2025-12-31T17-23-17_incremental_iko6otyh,0.1,0
0,incremental,Analysis,2025-12-31T17-26-35_incremental_ceg2rsdf,0.25,0
0,incremental,Analysis,2025-12-26T09-37-49_incremental_h2ebj37x,0.5,0
0,incremental,Analysis,2025-12-31T17-29-46_incremental_y19mcn2u,0.75,0
0,incremental,Analysis,2025-12-26T09-40-28_incremental_erpw7evd,1.0,0
0,incremental,Analysis,2025-12-26T09-43-05_incremental_t68qf4th,2.0,0
0,incremental,Analysis,2025-12-26T09-45-40_incremental_4k0wdks5,10.0,0
0,incremental,Analysis,2025-12-26T09-48-16_incremental_qlpx05t6,,0
0,incremental,Analysis,2025-12-31T17-32-59_incremental_4dy5rbzt,0.1,0
0,incremental,Analysis,2025-12-31T17-39-20_incremental_c02xx5n0,0.25,0
0,incremental,Analysis,2025-12-26T09-50-45_incremental_t9eqcanc,0.5,0
0,incremental,Analysis,2025-12-31T17-48-46_incremental_m7k5h739,0.75,0
0,incremental,Analysis,2025-12-26T09-53-21_incremental_g0eg19s9,1.0,0
0,incremental,Analysis,2025-12-26T09-55-58_incremental_75czscor,2.0,0
0,incremental,Analysis,2025-12-26T09-58-36_incremental_iwl9v6zz,10.0,0
0,incremental,Backdoor,2025-12-26T10-01-13_incremental_ejd0bahu,,0
0,incremental,Backdoor,2025-12-31T17-56-06_incremental_ev1p5as1,0.1,0
0,incremental,Backdoor,2025-12-31T18-06-36_incremental_lnoooask,0.25,0
0,incremental,Backdoor,2025-12-26T10-03-42_incremental_1vxzc71f,0.5,0
0,incremental,Backdoor,2025-12-31T18-16-19_incremental_miyz68tj,0.75,0
