alpha_anom,mode,attack,run_id,Radius,normal_pull_lambda
0,incremental,Worms,2025-12-27T06-11-01_incremental_6oxikcww,,0.01
0,incremental,Worms,2025-12-27T06-14-53_incremental_g165o2wy,,0.1
0,incremental,Worms,2025-12-27T06-18-47_incremental_ou85z6xi,0.25,0.01
0,incremental,Worms,2025-12-27T06-22-49_incremental_0a96nvvr,0.25,0.1
0,incremental,Worms,2025-12-27T06-26-51_incremental_m4z5zgdx,0.5,0.01
0,incremental,Worms,2025-12-27T06-30-41_incremental_nxbyjouz,0.5,0.1
0,incremental,Worms,2025-12-27T06-34-35_incremental_xpslnftk,1.0,0.01
0,incremental,Worms,2025-12-27T06-38-29_incremental_9nl4hin9,1.0,0.1
0,incremental,Worms,2025-12-27T06-42-21_incremental_znt5zde9,2.0,0.01
0,incremental,Worms,2025-12-27T06-46-09_incremental_ftbay27r,2.0,0.1
0,incremental,Worms,2025-12-27T06-49-52_incremental_alizc4bx,,0.01
0,incremental,Worms,2025-12-27T06-53-35_incremental_oygxb9ql,,0.1
0,incremental,Worms,2025-12-27T06-57-08_incremental_pybmbxw7,0.25,0.01
0,incremental,Worms,2025-12-27T07-00-51_incremental_7i2lb865,0.25,0.1
0,incremental,Worms,2025-12-27T07-04-37_incremental_4829t5b6,0.5,0.01
0,incremental,Worms,2025-12-27T07-08-22_incremental_85u3i2fj,0.5,0.1
0,incremental,Worms,2025-12-27T07-12-09_incremental_jozu573m,1.0,0.01
0,incremental,Worms,2025-12-27T07-15-56_incremental_b9nifl4m,1.0,0.1
0,incremental,Worms,2025-12-27T07-19-41_incremental_utk8h3fg,2.0,0.01
0,incremental,Worms,2025-12-27T07-23-23_incremental_qdqykcgn,2.0,0.1
0,incremental,Worms,2025-12-27T07-27-04_incremental_jkxzgxyl,,0.01
0,incremental,Worms,2025-12-27T07-30-39_incremental_gy7zmrbh,,0.1
0,incremental,Worms,2025-12-27T07-34-20_incremental_ippom6xh,0.25,0.01
0,incremental,Worms,2025-12-27T07-38-02_incremental_ck1bira0,0.25,0.1
0,incremental,Worms,2025-12-27T07-41-41_incremental_lgkc3sav,0.5,0.01
0,incremental,Worms,2025-12-27T07-45-26_incremental_au2iu9wv,0.5,0.1
0,incremental,Worms,2025-12-27T07-49-08_incremental_wdtiyp95,1.0,0.01
0,incremental,Worms,2025-12-27T07-52-55_incremental_mdz06b02,1.0,0.1
0,incremental,Worms,2025-12-27T07-56-38_incremental_8p8si68h,2.0,0.01
0,incremental,Worms,2025-12-27T08-00-25_incremental_50r3830r,2.0,0.1
0,incremental,Worms,2025-12-27T08-04-09_incremental_863rd6h0,,0.01
0,incremental,Worms,2025-12-27T08-07-45_incremental_x69mczgd,,0.1
0,incremental,Worms,2025-12-27T08-11-30_incremental_kghwd1ud,0.25,0.01
0,incremental,Worms,2025-12-27T08-15-13_incremental_resuhy9c,0.25,0.1
0,incremental,Worms,2025-12-27T08-18-53_incremental_v8pnrkgr,0.5,0.01
0,incremental,Worms,2025-12-27T08-22-34_incremental_iaih5psx,0.5,0.1
0,incremental,Worms,2025-12-27T08-26-17_incremental_wa7gedk6,1.0,0.01
0,incremental,Worms,2025-12-27T08-29-59_incremental_kr5j2lab,1.0,0.1
0,incremental,Worms,2025-12-27T08-33-48_incremental_cqf25aa1,2.0,0.01
0,incremental,Worms,2025-12-27T08-37-38_incremental_huccmbb4,2.0,0.1
0,incremental,Worms,2025-12-27T08-41-26_incremental_2qyp0qau,,0.01
0,incremental,Worms,2025-12-27T08-45-04_incremental_384yql98,,0.1
0,incremental,Worms,2025-12-27T08-48-38_incremental_pxxsabr4,0.25,0.01
0,incremental,Worms,2025-12-27T08-52-30_incremental_7t9qygt4,0.25,0.1
0,incremental,Worms,2025-12-27T08-56-15_incremental_wnfrvbri,0.5,0.01
0,incremental,Worms,2025-12-27T08-59-54_incremental_zun0fd46,0.5,0.1
0,incremental,Worms,2025-12-27T09-03-40_incremental_kryjx0b0,1.0,0.01
0,incremental,Worms,2025-12-27T09-07-30_incremental_449r1dkl,1.0,0.1
0,incremental,Worms,2025-12-27T09-11-14_incremental_bpqhqefd,2.0,0.01
0,incremental,Worms,2025-12-27T09-14-57_incremental_khlryy0a,2.0,0.1
0,incremental,DoS,2025-12-27T09-18-41_incremental_merhssvh,,0.01
0,incremental,DoS,2025-12-27T09-22-17_incremental_klisc7bu,,0.1
0,incremental,DoS,2025-12-27T09-25-57_incremental_g7eae51f,0.25,0.01
0,incremental,DoS,2025-12-27T09-29-42_incremental_6stn8uwt,0.25,0.1
0,incremental,DoS,2025-12-27T09-33-31_incremental_svnvn9ud,0.5,0.01
0,incremental,DoS,2025-12-27T09-37-19_incremental_lciyzxee,0.5,0.1
0,incremental,DoS,2025-12-27T09-40-59_incremental_r2i5wdy1,1.0,0.01
0,incremental,DoS,2025-12-27T09-44-37_incremental_3mnf6bcy,1.0,0.1
0,incremental,DoS,2025-12-27T09-48-24_incremental_nrylxf35,2.0,0.01
0,incremental,DoS,2025-12-27T09-52-07_incremental_bjydnftv,2.0,0.1
0,incremental,DoS,2025-12-27T09-55-59_incremental_hf8x2m6e,,0.01
0,incremental,DoS,2025-12-27T09-59-33_incremental_v9e04kp0,,0.1
0,incremental,DoS,2025-12-27T10-03-08_incremental_j701zuwk,0.25,0.01
0,incremental,DoS,2025-12-27T10-06-54_incremental_q6us9sc4,0.25,0.1
0,incremental,DoS,2025-12-27T10-10-34_incremental_d4grm8v9,0.5,0.01
0,incremental,DoS,2025-12-27T10-14-16_incremental_qdk36g7a,0.5,0.1
0,incremental,DoS,2025-12-27T10-18-01_incremental_i7t8273r,1.0,0.01
0,incremental,DoS,2025-12-27T10-21-45_incremental_13894fx3,1.0,0.1
0,incremental,DoS,2025-12-27T10-25-29_incremental_x498nv9j,2.0,0.01
0,incremental,DoS,2025-12-27T10-29-18_incremental_ur900fbs,2.0,0.1
0,incremental,DoS,2025-12-27T10-33-02_incremental_h0mkgomx,,0.01
0,incremental,DoS,2025-12-27T10-36-41_incremental_o70imx1t,,0.1
0,incremental,DoS,2025-12-27T10-40-17_incremental_1wj2f1az,0.25,0.01
0,incremental,DoS,2025-12-27T10-44-01_incremental_yxlf5yt2,0.25,0.1
0,incremental,DoS,2025-12-27T10-47-43_incremental_f0200jya,0.5,0.01
0,incremental,DoS,2025-12-27T10-51-27_incremental_5u5ohw6a,0.5,0.1
