alpha_anom,mode,attack,run_id
0,incremental,Worms,2025-12-11T23-48-36_incremental_4bgw9ebf
0.1,incremental,Worms,2025-12-11T23-51-12_incremental_3pmhwmo1
0.3,incremental,Worms,2025-12-11T23-54-04_incremental_7mr9ra1k
0.5,incremental,Worms,2025-12-11T23-56-58_incremental_lnnel3ci
1.0,incremental,Worms,2025-12-11T23-59-53_incremental_4tv7gkg6
2.0,incremental,Worms,2025-12-12T00-02-42_incremental_49hfj6fq
4.0,incremental,Worms,2025-12-12T00-05-34_incremental_jg9xco9j
6.0,incremental,Worms,2025-12-12T00-08-31_incremental_a6nfjsmh
8.0,incremental,Worms,2025-12-12T00-11-24_incremental_tdp3g6mf
10.0,incremental,Worms,2025-12-12T00-14-18_incremental_mrflekhl
0,single,Worms,2025-12-12T00-17-10_single_lnhkbe04
0.1,single,Worms,2025-12-12T00-17-48_single_cm9slz7n
0.3,single,Worms,2025-12-12T00-18-30_single_gxvj9hfs
0.5,single,Worms,2025-12-12T00-19-13_single_ho5wg3ap
1.0,single,Worms,2025-12-12T00-19-55_single_jj5xxz2d
2.0,single,Worms,2025-12-12T00-20-36_single_m03bn6me
4.0,single,Worms,2025-12-12T00-21-18_single_lw7yrnxa
6.0,single,Worms,2025-12-12T00-21-59_single_ws6ib4ah
8.0,single,Worms,2025-12-12T00-22-41_single_nul945o7
10.0,single,Worms,2025-12-12T00-23-23_single_runkavo8
0,incremental,DoS,2025-12-12T00-24-06_incremental_t8xr7t7o
0.1,incremental,DoS,2025-12-12T00-26-43_incremental_8flnfgw9
0.3,incremental,DoS,2025-12-12T00-29-34_incremental_g8bowqvs
0.5,incremental,DoS,2025-12-12T00-32-27_incremental_4kmxzxwd
1.0,incremental,DoS,2025-12-12T00-35-15_incremental_dq7r3lt4
2.0,incremental,DoS,2025-12-12T00-38-04_incremental_o13y3c5z
4.0,incremental,DoS,2025-12-12T00-40-53_incremental_b9k9j6to
6.0,incremental,DoS,2025-12-12T00-43-42_incremental_gkz31ba4
8.0,incremental,DoS,2025-12-12T00-46-27_incremental_w6zngl0m
10.0,incremental,DoS,2025-12-12T00-49-14_incremental_ieufsuq2
0,single,DoS,2025-12-12T00-52-03_single_2qxx576u
0.1,single,DoS,2025-12-12T00-52-40_single_3hgwt11h
0.3,single,DoS,2025-12-12T00-53-19_single_nh5o957x
0.5,single,DoS,2025-12-12T00-54-00_single_dvqr3pyx
1.0,single,DoS,2025-12-12T00-54-42_single_6d12n7ge
2.0,single,DoS,2025-12-12T00-55-21_single_au2rh79b
4.0,single,DoS,2025-12-12T00-56-01_single_j0z602kc
6.0,single,DoS,2025-12-12T00-56-43_single_3txnkcd0
8.0,single,DoS,2025-12-12T00-57-23_single_dd060j78
10.0,single,DoS,2025-12-12T00-58-01_single_i6rve9lz
0,incremental,Analysis,2025-12-12T00-58-43_incremental_19vqwap1
0.1,incremental,Analysis,2025-12-12T01-01-14_incremental_c3h56vc3
0.3,incremental,Analysis,2025-12-12T01-04-01_incremental_p3o5cun7
0.5,incremental,Analysis,2025-12-12T01-06-49_incremental_3zto8cqi
1.0,incremental,Analysis,2025-12-12T01-09-32_incremental_euwqibls
2.0,incremental,Analysis,2025-12-12T01-12-22_incremental_5au1s450
4.0,incremental,Analysis,2025-12-12T01-15-05_incremental_t9o6f70l
6.0,incremental,Analysis,2025-12-12T01-17-51_incremental_xdu7ly8k
8.0,incremental,Analysis,2025-12-12T01-20-36_incremental_9yy4kkmw
10.0,incremental,Analysis,2025-12-12T01-23-28_incremental_j35xkkar
0,single,Analysis,2025-12-12T01-26-13_single_p56rldsv
0.1,single,Analysis,2025-12-12T01-26-51_single_o2p7trrg
0.3,single,Analysis,2025-12-12T01-27-32_single_259drfv4
0.5,single,Analysis,2025-12-12T01-28-12_single_1pf1e73l
1.0,single,Analysis,2025-12-12T01-28-52_single_quw7i1bg
2.0,single,Analysis,2025-12-12T01-29-33_single_hsrbdili
4.0,single,Analysis,2025-12-12T01-30-14_single_qeuna04h
6.0,single,Analysis,2025-12-12T01-30-55_single_ynlz2v43
8.0,single,Analysis,2025-12-12T01-31-35_single_ddeoqs8s
10.0,single,Analysis,2025-12-12T01-32-17_single_2rn240hr
0,incremental,Backdoor,2025-12-12T01-32-59_incremental_ytwaanjq
0.1,incremental,Backdoor,2025-12-12T01-35-38_incremental_6j0sqsmm
0.3,incremental,Backdoor,2025-12-12T01-38-24_incremental_qge5rfpc
0.5,incremental,Backdoor,2025-12-12T01-41-09_incremental_eua2wbfj
1.0,incremental,Backdoor,2025-12-12T01-43-54_incremental_3u171unn
2.0,incremental,Backdoor,2025-12-12T01-46-40_incremental_a4tfxzdt
4.0,incremental,Backdoor,2025-12-12T01-49-30_incremental_fkkj7upz
6.0,incremental,Backdoor,2025-12-12T01-52-16_incremental_4cjos8z2
8.0,incremental,Backdoor,2025-12-12T01-55-06_incremental_0kxc30ad
10.0,incremental,Backdoor,2025-12-12T01-57-55_incremental_hbvn07mm
0,single,Backdoor,2025-12-12T02-00-44_single_to72yn9s
0.1,single,Backdoor,2025-12-12T02-01-20_single_cvi32uwu
0.3,single,Backdoor,2025-12-12T02-01-59_single_3ermpm4t
0.5,single,Backdoor,2025-12-12T02-02-39_single_pbi4ptt6
1.0,single,Backdoor,2025-12-12T02-03-21_single_1lyemk3y
2.0,single,Backdoor,2025-12-12T02-04-02_single_l6gs09om
4.0,single,Backdoor,2025-12-12T02-04-42_single_04uegk5c
6.0,single,Backdoor,2025-12-12T02-05-22_single_kxgvyyp7
8.0,single,Backdoor,2025-12-12T02-06-02_single_04d2ojnl
