alpha_anom,mode,attack,run_id,Radius,normal_pull_lambda
0,incremental,Worms,2025-12-27T06-10-02_incremental_ne7l96xo,,0.001
0,incremental,Worms,2025-12-27T06-14-21_incremental_un30kgjo,,0.005
0,incremental,Worms,2025-12-27T06-18-36_incremental_jhwogdtc,0.25,0.001
0,incremental,Worms,2025-12-27T06-22-55_incremental_hamoaszf,0.25,0.005
0,incremental,Worms,2025-12-27T06-27-13_incremental_85pdmezt,0.5,0.001
0,incremental,Worms,2025-12-27T06-31-32_incremental_7kzj5n9u,0.5,0.005
0,incremental,Worms,2025-12-27T06-35-51_incremental_5a0lr3jz,1.0,0.001
0,incremental,Worms,2025-12-27T06-40-11_incremental_vp7zmq0u,1.0,0.005
0,incremental,Worms,2025-12-27T06-44-27_incremental_a9kqakiz,2.0,0.001
0,incremental,Worms,2025-12-27T06-48-34_incremental_v1kxvbx5,2.0,0.005
0,incremental,Worms,2025-12-27T06-52-41_incremental_jlg05wb5,,0.001
0,incremental,Worms,2025-12-27T06-56-41_incremental_88t805ik,,0.005
0,incremental,Worms,2025-12-27T07-00-40_incremental_71uggd4h,0.25,0.001
0,incremental,Worms,2025-12-27T07-04-48_incremental_8of2ttig,0.25,0.005
0,incremental,Worms,2025-12-27T07-08-56_incremental_fz50vhc5,0.5,0.001
0,incremental,Worms,2025-12-27T07-13-03_incremental_vcn8dbzg,0.5,0.005
0,incremental,Worms,2025-12-27T07-17-10_incremental_n80ck37g,1.0,0.001
0,incremental,Worms,2025-12-27T07-21-18_incremental_1tg7juwj,1.0,0.005
0,incremental,Worms,2025-12-27T07-25-27_incremental_xt78qrb8,2.0,0.001
0,incremental,Worms,2025-12-27T07-29-34_incremental_bxbrl9kj,2.0,0.005
0,incremental,Worms,2025-12-27T07-33-40_incremental_qimhushn,,0.001
0,incremental,Worms,2025-12-27T07-37-39_incremental_quszbah4,,0.005
0,incremental,Worms,2025-12-27T07-41-39_incremental_ozoql6kj,0.25,0.001
0,incremental,Worms,2025-12-27T07-45-48_incremental_rncwn2yp,0.25,0.005
0,incremental,Worms,2025-12-27T07-49-54_incremental_e1abz5cc,0.5,0.001
0,incremental,Worms,2025-12-27T07-54-02_incremental_4k7zf16d,0.5,0.005
0,incremental,Worms,2025-12-27T07-58-10_incremental_5fhg8jgu,1.0,0.001
0,incremental,Worms,2025-12-27T08-02-16_incremental_732vxif3,1.0,0.005
0,incremental,Worms,2025-12-27T08-06-23_incremental_ssnskv4g,2.0,0.001
0,incremental,Worms,2025-12-27T08-10-29_incremental_mwmdvhkg,2.0,0.005
0,incremental,Worms,2025-12-27T08-14-38_incremental_nmaufsro,,0.001
0,incremental,Worms,2025-12-27T08-18-38_incremental_qivi40r2,,0.005
0,incremental,Worms,2025-12-27T08-22-36_incremental_z4bx3ao3,0.25,0.001
0,incremental,Worms,2025-12-27T08-26-43_incremental_iu33wwr5,0.25,0.005
0,incremental,Worms,2025-12-27T08-30-52_incremental_jsxrza82,0.5,0.001
0,incremental,Worms,2025-12-27T08-35-00_incremental_6w6y3jrs,0.5,0.005
0,incremental,Worms,2025-12-27T08-39-04_incremental_8n828sbt,1.0,0.001
0,incremental,Worms,2025-12-27T08-43-10_incremental_33sl9j4g,1.0,0.005
0,incremental,Worms,2025-12-27T08-47-17_incremental_8k89i4z7,2.0,0.001
0,incremental,Worms,2025-12-27T08-51-24_incremental_z855rsua,2.0,0.005
0,incremental,Worms,2025-12-27T08-55-31_incremental_92rjhkgx,,0.001
0,incremental,Worms,2025-12-27T08-59-30_incremental_wp00jilf,,0.005
0,incremental,Worms,2025-12-27T09-03-29_incremental_4w3qhjgo,0.25,0.001
0,incremental,Worms,2025-12-27T09-07-37_incremental_pocps7v2,0.25,0.005
0,incremental,Worms,2025-12-27T09-11-44_incremental_n48kd6i9,0.5,0.001
0,incremental,Worms,2025-12-27T09-15-51_incremental_gliq3zpi,0.5,0.005
0,incremental,Worms,2025-12-27T09-19-58_incremental_e3mm8xuw,1.0,0.001
0,incremental,Worms,2025-12-27T09-24-04_incremental_3m6b866d,1.0,0.005
0,incremental,Worms,2025-12-27T09-28-11_incremental_4ce87e3d,2.0,0.001
0,incremental,Worms,2025-12-27T09-32-18_incremental_rq9qz771,2.0,0.005
0,incremental,DoS,2025-12-27T09-36-24_incremental_ebgn5wiu,,0.001
0,incremental,DoS,2025-12-27T09-40-24_incremental_e22390hz,,0.005
0,incremental,DoS,2025-12-27T09-44-24_incremental_9vangttn,0.25,0.001
0,incremental,DoS,2025-12-27T09-48-31_incremental_nuj6dred,0.25,0.005
0,incremental,DoS,2025-12-27T09-52-37_incremental_2b959mup,0.5,0.001
0,incremental,DoS,2025-12-27T09-56-44_incremental_xolo56kd,0.5,0.005
0,incremental,DoS,2025-12-27T10-00-51_incremental_ovecu27k,1.0,0.001
0,incremental,DoS,2025-12-27T10-04-58_incremental_xwy9o0w9,1.0,0.005
0,incremental,DoS,2025-12-27T10-09-05_incremental_7usp2qlz,2.0,0.001
0,incremental,DoS,2025-12-27T10-13-11_incremental_h98y3gz8,2.0,0.005
0,incremental,DoS,2025-12-27T10-17-19_incremental_edhqwo0i,,0.001
0,incremental,DoS,2025-12-27T10-21-17_incremental_xmn98fdu,,0.005
0,incremental,DoS,2025-12-27T10-25-18_incremental_tzr3so99,0.25,0.001
0,incremental,DoS,2025-12-27T10-29-25_incremental_zgkgta1g,0.25,0.005
0,incremental,DoS,2025-12-27T10-33-30_incremental_h0lllind,0.5,0.001
0,incremental,DoS,2025-12-27T10-37-37_incremental_x20oij3c,0.5,0.005
0,incremental,DoS,2025-12-27T10-41-44_incremental_vrvenxbe,1.0,0.001
0,incremental,DoS,2025-12-27T10-45-51_incremental_ovlou9kr,1.0,0.005
0,incremental,DoS,2025-12-27T10-49-57_incremental_k19ux6yv,2.0,0.001
0,incremental,DoS,2025-12-27T10-54-03_incremental_k8d2lfs2,2.0,0.005
0,incremental,DoS,2025-12-27T10-58-10_incremental_2yr1bncd,,0.001
0,incremental,DoS,2025-12-27T11-02-10_incremental_m56lwyrh,,0.005
0,incremental,DoS,2025-12-27T11-06-12_incremental_fm9plf0v,0.25,0.001
0,incremental,DoS,2025-12-27T11-10-20_incremental_xw9xc6vm,0.25,0.005
0,incremental,DoS,2025-12-27T20-57-12_incremental_rfgf5dgs,0.5,0.001
0,incremental,DoS,2025-12-27T21-01-34_incremental_dqmnsw65,0.5,0.005
0,incremental,DoS,2025-12-27T21-05-55_incremental_zdeuole2,1.0,0.001
0,incremental,DoS,2025-12-27T21-10-14_incremental_nhmd541x,1.0,0.005
0,incremental,DoS,2025-12-27T21-14-38_incremental_pn36b05z,2.0,0.001
0,incremental,DoS,2025-12-27T21-18-59_incremental_ljivhkr0,2.0,0.005
0,incremental,DoS,2025-12-27T21-23-21_incremental_0xw5exu5,,0.001
0,incremental,DoS,2025-12-27T21-27-32_incremental_apx5sajx,,0.005
0,incremental,DoS,2025-12-27T21-31-38_incremental_lr6gjyvm,0.25,0.001
0,incremental,DoS,2025-12-27T21-35-44_incremental_hdaualgk,0.25,0.005
0,incremental,DoS,2025-12-27T21-39-51_incremental_pvxt8iyc,0.5,0.001
0,incremental,DoS,2025-12-27T21-43-58_incremental_nw9dhxcc,0.5,0.005
0,incremental,DoS,2025-12-27T21-48-06_incremental_9unbcqwd,1.0,0.001
0,incremental,DoS,2025-12-27T21-52-14_incremental_9fda3e4k,1.0,0.005
0,incremental,DoS,2025-12-27T21-56-23_incremental_ec1f7pvy,2.0,0.001
0,incremental,DoS,2025-12-27T22-00-29_incremental_01nakyka,2.0,0.005
0,incremental,DoS,2025-12-27T22-04-35_incremental_64jnj68m,,0.001
0,incremental,DoS,2025-12-27T22-08-33_incremental_qo080s2e,,0.005
0,incremental,DoS,2025-12-27T22-12-31_incremental_e1g5cus8,0.25,0.001
0,incremental,DoS,2025-12-27T22-16-37_incremental_lrxi4o72,0.25,0.005
0,incremental,DoS,2025-12-27T22-20-44_incremental_u9tx9vne,0.5,0.001
0,incremental,DoS,2025-12-27T22-24-53_incremental_uh5hetyk,0.5,0.005
0,incremental,DoS,2025-12-27T22-29-00_incremental_tzk8t64l,1.0,0.001
0,incremental,DoS,2025-12-27T22-33-07_incremental_tcnjxgev,1.0,0.005
0,incremental,DoS,2025-12-27T22-37-13_incremental_jzkdacmn,2.0,0.001
0,incremental,DoS,2025-12-27T22-41-21_incremental_m2gq9g0o,2.0,0.005
0,incremental,Analysis,2025-12-27T22-45-28_incremental_yo583g8v,,0.001
0,incremental,Analysis,2025-12-27T22-49-27_incremental_pihx7mj9,,0.005
0,incremental,Analysis,2025-12-27T22-53-28_incremental_xnyvzszo,0.25,0.001
0,incremental,Analysis,2025-12-27T22-57-36_incremental_kdnueccp,0.25,0.005
0,incremental,Analysis,2025-12-27T23-01-44_incremental_yrricoqh,0.5,0.001
0,incremental,Analysis,2025-12-27T23-05-55_incremental_s8fx3beb,0.5,0.005
0,incremental,Analysis,2025-12-27T23-10-03_incremental_x2y2ri35,1.0,0.001
0,incremental,Analysis,2025-12-27T23-14-13_incremental_1d6mw4ed,1.0,0.005
0,incremental,Analysis,2025-12-27T23-18-20_incremental_07793f5g,2.0,0.001
0,incremental,Analysis,2025-12-27T23-22-27_incremental_jsiimbr5,2.0,0.005
0,incremental,Analysis,2025-12-27T23-26-35_incremental_k1162yeu,,0.001
0,incremental,Analysis,2025-12-27T23-30-33_incremental_9386lwer,,0.005
0,incremental,Analysis,2025-12-27T23-34-33_incremental_uiy0xar8,0.25,0.001
0,incremental,Analysis,2025-12-27T23-38-40_incremental_u9x2trbd,0.25,0.005
0,incremental,Analysis,2025-12-27T23-42-49_incremental_6tblnfuv,0.5,0.001
0,incremental,Analysis,2025-12-27T23-46-55_incremental_ln570fsm,0.5,0.005
0,incremental,Analysis,2025-12-27T23-51-02_incremental_bxbwegbj,1.0,0.001
0,incremental,Analysis,2025-12-27T23-55-09_incremental_6dfke015,1.0,0.005
0,incremental,Analysis,2025-12-27T23-59-18_incremental_2irfzz2q,2.0,0.001
0,incremental,Analysis,2025-12-28T00-03-24_incremental_7plfscmr,2.0,0.005
0,incremental,Analysis,2025-12-28T00-07-29_incremental_xby09cas,,0.001
0,incremental,Analysis,2025-12-28T00-11-26_incremental_paauua7w,,0.005
0,incremental,Analysis,2025-12-28T00-15-24_incremental_r9krizev,0.25,0.001
0,incremental,Analysis,2025-12-28T00-19-52_incremental_o0a1m839,0.25,0.005
0,incremental,Analysis,2025-12-28T00-24-46_incremental_9zjz4q3j,0.5,0.001
0,incremental,Analysis,2025-12-28T00-29-10_incremental_zamo2146,0.5,0.005
0,incremental,Analysis,2025-12-28T00-33-34_incremental_sg0achkj,1.0,0.001
0,incremental,Analysis,2025-12-28T00-37-54_incremental_qkzglmmj,1.0,0.005
0,incremental,Analysis,2025-12-28T00-42-13_incremental_ylr4wlqh,2.0,0.001
0,incremental,Analysis,2025-12-28T00-46-31_incremental_tbmev7p1,2.0,0.005
0,incremental,Analysis,2025-12-28T00-50-50_incremental_tzmek0c9,,0.001
0,incremental,Analysis,2025-12-28T00-55-03_incremental_ticl6yw6,,0.005
0,incremental,Analysis,2025-12-28T00-59-17_incremental_z5auqm94,0.25,0.001
0,incremental,Analysis,2025-12-28T01-03-34_incremental_argyrmaz,0.25,0.005
0,incremental,Analysis,2025-12-28T01-07-44_incremental_1vh3y3jq,0.5,0.001
0,incremental,Analysis,2025-12-28T01-11-52_incremental_5evpwukf,0.5,0.005
0,incremental,Analysis,2025-12-28T01-16-12_incremental_7r9ztoj5,1.0,0.001
0,incremental,Analysis,2025-12-28T01-21-49_incremental_3t251oiq,1.0,0.005
0,incremental,Analysis,2025-12-28T01-29-01_incremental_rpri0h0c,2.0,0.001
0,incremental,Analysis,2025-12-28T01-36-08_incremental_sh8ad0il,2.0,0.005
