alpha_anom,mode,attack,run_id,Radius
0,incremental,Worms,2025-12-25T01-00-45_incremental_ssggg4ya,
0,incremental,Worms,2025-12-25T01-03-56_incremental_8g9goxp1,0.5
0,incremental,Worms,2025-12-25T01-07-00_incremental_80jcaf0f,1.0
0,incremental,Worms,2025-12-25T01-10-00_incremental_k3fdwxef,2.0
0,incremental,Worms,2025-12-25T01-13-02_incremental_ist9nml0,10.0
0,incremental,Worms,2025-12-25T01-16-02_incremental_3se7uv0x,
0,incremental,Worms,2025-12-25T01-19-05_incremental_6ph0kryu,0.5
0,incremental,Worms,2025-12-25T01-22-06_incremental_k0uc8go6,1.0
0,incremental,Worms,2025-12-25T01-25-09_incremental_pvdjc19b,2.0
0,incremental,Worms,2025-12-25T01-28-15_incremental_k2yxx04w,10.0
0,incremental,Worms,2025-12-25T01-31-18_incremental_2tvjatvk,
0,incremental,Worms,2025-12-25T01-34-19_incremental_hbxxlpvr,0.5
0,incremental,Worms,2025-12-25T01-37-22_incremental_01kf5ll4,1.0
0,incremental,Worms,2025-12-25T01-40-25_incremental_xd25558s,2.0
0,incremental,Worms,2025-12-25T01-43-31_incremental_l2ass2xy,10.0
0,incremental,Worms,2025-12-25T01-46-35_incremental_23veiuww,
0,incremental,Worms,2025-12-25T01-49-40_incremental_jj7aw77j,0.5
0,incremental,Worms,2025-12-25T01-52-48_incremental_k3wmeyd7,1.0
0,incremental,Worms,2025-12-25T01-55-55_incremental_twii3hx1,2.0
0,incremental,Worms,2025-12-25T01-59-01_incremental_6vnzalvd,10.0
0,incremental,Worms,2025-12-25T02-02-06_incremental_4okq9rbb,
0,incremental,Worms,2025-12-25T02-05-20_incremental_za7bcnmz,0.5
0,incremental,Worms,2025-12-25T02-08-33_incremental_5ox7ezr7,1.0
0,incremental,Worms,2025-12-25T02-11-46_incremental_w37ii9a0,2.0
0,incremental,Worms,2025-12-25T02-15-00_incremental_fu7oy97m,10.0
0,incremental,DoS,2025-12-25T02-18-11_incremental_pfsz1hxh,
0,incremental,DoS,2025-12-25T02-21-25_incremental_hvy5wf3w,0.5
0,incremental,DoS,2025-12-25T02-24-39_incremental_5clcnnbg,1.0
0,incremental,DoS,2025-12-25T02-27-51_incremental_pr7ot25v,2.0
0,incremental,DoS,2025-12-25T02-31-01_incremental_lf99kfs5,10.0
0,incremental,DoS,2025-12-25T02-34-11_incremental_3bsodugo,
0,incremental,DoS,2025-12-25T02-37-17_incremental_4jlrxfb4,0.5
0,incremental,DoS,2025-12-25T02-40-25_incremental_cvtlvy91,1.0
0,incremental,DoS,2025-12-25T02-45-31_incremental_t20pwzvo,2.0
0,incremental,DoS,2025-12-25T02-50-46_incremental_qyjxe2je,10.0
0,incremental,DoS,2025-12-25T02-56-02_incremental_cl77lfp0,
0,incremental,DoS,2025-12-25T03-01-02_incremental_vtn27knj,0.5
0,incremental,DoS,2025-12-25T03-05-56_incremental_1847vz6m,1.0
0,incremental,DoS,2025-12-25T03-11-19_incremental_1gl0mm6y,2.0
