alpha_anom,mode,attack,run_id,Radius,normal_pull_lambda
0,incremental,Backdoor,2025-12-28T01-57-15_incremental_4phyz2v2,,0.001
0,incremental,Backdoor,2025-12-28T02-02-15_incremental_dwjkhj12,,0.005
0,incremental,Backdoor,2025-12-28T02-07-07_incremental_51j70in4,0.25,0.001
0,incremental,Backdoor,2025-12-28T02-11-59_incremental_7uvlnvq9,0.25,0.005
0,incremental,Backdoor,2025-12-28T02-17-18_incremental_7mgl72eo,0.5,0.001
0,incremental,Backdoor,2025-12-28T02-22-26_incremental_du7hzgd6,0.5,0.005
0,incremental,Backdoor,2025-12-28T02-27-34_incremental_7xk6tg7c,1.0,0.001
0,incremental,Backdoor,2025-12-28T02-32-37_incremental_9yqxaam8,1.0,0.005
0,incremental,Backdoor,2025-12-28T02-37-45_incremental_4f5367qa,2.0,0.001
0,incremental,Backdoor,2025-12-28T02-43-03_incremental_dvsj01yg,2.0,0.005
0,incremental,Backdoor,2025-12-28T02-48-24_incremental_7r7c2qor,,0.001
0,incremental,Backdoor,2025-12-28T02-53-34_incremental_ypv2lxvo,,0.005
0,incremental,Backdoor,2025-12-28T02-58-47_incremental_rtnc88ji,0.25,0.001
0,incremental,Backdoor,2025-12-28T03-03-34_incremental_befu2aim,0.25,0.005
0,incremental,Backdoor,2025-12-28T03-08-24_incremental_7p9s7n6y,0.5,0.001
0,incremental,Backdoor,2025-12-28T03-13-11_incremental_dc3scydx,0.5,0.005
0,incremental,Backdoor,2025-12-28T03-17-58_incremental_ddsxqxmk,1.0,0.001
0,incremental,Backdoor,2025-12-28T03-22-48_incremental_4w9oir25,1.0,0.005
0,incremental,Backdoor,2025-12-28T03-27-35_incremental_vpggdrwz,2.0,0.001
0,incremental,Backdoor,2025-12-28T03-31-57_incremental_ba15u4k3,2.0,0.005
0,incremental,Backdoor,2025-12-28T03-36-11_incremental_2oiolloo,,0.001
0,incremental,Backdoor,2025-12-28T03-40-16_incremental_15ir5gje,,0.005
0,incremental,Backdoor,2025-12-28T03-44-23_incremental_o0g0khb0,0.25,0.001
0,incremental,Backdoor,2025-12-28T03-48-37_incremental_18yhshfg,0.25,0.005
0,incremental,Backdoor,2025-12-28T03-52-50_incremental_xrdw2eov,0.5,0.001
0,incremental,Backdoor,2025-12-28T03-57-07_incremental_gn8pbga9,0.5,0.005
0,incremental,Backdoor,2025-12-28T04-01-23_incremental_sl3ozowk,1.0,0.001
0,incremental,Backdoor,2025-12-28T04-05-36_incremental_bz1vkz5y,1.0,0.005
