alpha_anom,mode,run_id,Radius
0,incremental,2025-12-26T03-25-53_incremental_74l43klr,
0,incremental,2025-12-26T03-28-57_incremental_qr5idnue,0.5
0,incremental,2025-12-26T03-32-08_incremental_b6xuqt1o,1.0
0,incremental,2025-12-26T03-35-13_incremental_v4l10o7m,2.0
0,incremental,2025-12-26T03-38-16_incremental_kduddact,10.0
0,incremental,2025-12-26T03-41-21_incremental_cjisdc7m,
0,incremental,2025-12-26T03-44-18_incremental_846onpfr,0.5
0,incremental,2025-12-26T03-47-25_incremental_bgey96yo,1.0
0,incremental,2025-12-26T03-50-30_incremental_vt6hkfng,2.0
0,incremental,2025-12-26T03-53-35_incremental_ks3ig2zz,10.0
0,incremental,2025-12-26T03-56-40_incremental_nlwk44b2,
0,incremental,2025-12-26T03-59-38_incremental_np3hz2cp,0.5
0,incremental,2025-12-26T04-02-45_incremental_ap4v8fhr,1.0
0,incremental,2025-12-26T04-05-52_incremental_ebvnedrv,2.0
0,incremental,2025-12-26T04-09-04_incremental_buol6k6y,10.0
0,incremental,2025-12-26T04-12-09_incremental_my4aayit,
0,incremental,2025-12-26T04-15-06_incremental_8ouncda8,0.5
0,incremental,2025-12-26T04-18-15_incremental_10rmx7i2,1.0
0,incremental,2025-12-26T04-21-27_incremental_5rqup2u4,2.0
0,incremental,2025-12-26T04-24-45_incremental_2n8ue6j1,10.0
0,incremental,2025-12-26T04-41-49_incremental_od62lyu7,
0,incremental,2025-12-26T04-44-34_incremental_lelt1e7c,0.5
0,incremental,2025-12-26T04-47-24_incremental_q1esxmhn,1.0
0,incremental,2025-12-26T04-50-16_incremental_077h4rv6,2.0
0,incremental,2025-12-26T04-53-11_incremental_xez7s4u8,10.0
