attack,block_num,mode,mean_knn1_auc,mean_knn1_ap,mean_knn1_recall_at_num_attack,mean_knn2_auc,mean_knn2_ap,mean_knn2_recall_at_num_attack,mean_knn3_auc,mean_knn3_ap,mean_knn3_recall_at_num_attack
DoS,5,incremental,0.8291666666666666,0.5049999999999999,0.7,0.828125,0.5636309523809524,0.7,0.8322916666666667,0.6148809523809524,0.75
DoS,5,single,0.9458333333333334,0.8767857142857143,0.9,0.9739583333333334,0.9471428571428572,0.95,0.975,0.9571428571428571,0.95
DoS,9,single,0.8458333333333332,0.7095238095238094,0.7,0.9177083333333333,0.8147619047619047,0.8,0.96875,0.9021428571428572,0.9
DoS,13,incremental,0.8458333333333334,0.5757142857142856,0.65,0.8583333333333334,0.7282142857142857,0.75,0.85,0.6773809523809524,0.75
DoS,13,single,0.6416666666666667,0.39999999999999997,0.3,0.7854166666666667,0.6371428571428571,0.55,0.853125,0.6715476190476191,0.65
DoS,17,incremental,0.8583333333333334,0.6357142857142857,0.75,0.8614583333333334,0.7107142857142856,0.75,0.8572916666666666,0.7232142857142857,0.75
DoS,17,single,0.6458333333333334,0.37499999999999994,0.3,0.7333333333333333,0.473095238095238,0.45,0.84375,0.5940476190476189,0.55
Exploits,5,incremental,0.8375,0.5307142857142856,0.75,0.8510416666666666,0.7107142857142856,0.75,0.8416666666666666,0.6757142857142856,0.75
Exploits,5,single,0.925,0.8714285714285713,0.85,0.9229166666666668,0.8714285714285713,0.85,0.921875,0.8614285714285714,0.85
Exploits,9,single,0.7958333333333333,0.6238095238095237,0.6,0.8708333333333333,0.7532142857142856,0.7,0.8645833333333333,0.7228571428571429,0.65
Exploits,13,incremental,0.85,0.6132142857142857,0.75,0.8583333333333334,0.7107142857142856,0.75,0.846875,0.7107142857142856,0.75
Exploits,13,single,0.675,0.4428571428571429,0.35,0.8135416666666666,0.625,0.65,0.8614583333333334,0.7157142857142856,0.7
Exploits,17,incremental,0.8583333333333334,0.6507142857142856,0.75,0.853125,0.6882142857142857,0.75,0.8489583333333334,0.7257142857142858,0.75
Exploits,17,single,0.5958333333333334,0.3142857142857142,0.2,0.7625,0.5184523809523809,0.55,0.865625,0.5869047619047618,0.65
Fuzzers,5,incremental,0.8916666666666666,0.6297619047619047,0.75,0.9072916666666666,0.7725,0.8,0.928125,0.8011904761904761,0.7
Fuzzers,5,single,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fuzzers,9,single,0.9625000000000001,0.8371428571428572,0.9,0.9864583333333334,0.8919047619047618,0.8,0.9864583333333332,0.9023809523809524,0.8
Fuzzers,13,incremental,0.875,0.6303571428571428,0.75,0.875,0.6896428571428571,0.75,0.9072916666666666,0.8005952380952381,0.75
Fuzzers,13,single,0.9583333333333334,0.7076190476190476,0.6,0.9583333333333334,0.7358333333333332,0.65,0.9458333333333332,0.7088888888888889,0.7
Fuzzers,17,incremental,0.8666666666666668,0.7107142857142856,0.75,0.86875,0.7857142857142857,0.75,0.8635416666666667,0.7732142857142856,0.75
Fuzzers,17,single,0.8166666666666668,0.45446428571428565,0.3,0.9333333333333333,0.6755555555555556,0.4,0.965625,0.78,0.75
Reconnaissance,5,incremental,0.9708333333333334,0.7676190476190476,0.85,0.9864583333333332,0.9019047619047619,0.9,0.99375,0.9619047619047618,0.9
Reconnaissance,5,single,0.9708333333333334,0.9196428571428571,0.95,0.9947916666666666,0.9525,0.95,0.9916666666666666,0.96,0.95
Reconnaissance,9,single,0.9,0.8285714285714285,0.8,0.9208333333333334,0.8339285714285714,0.85,0.9375,0.8442857142857143,0.8
Reconnaissance,13,incremental,0.9791666666666667,0.8133333333333332,0.9,0.9875,0.8800000000000001,0.95,0.990625,0.9099999999999999,0.95
Reconnaissance,13,single,0.8708333333333332,0.6261904761904762,0.6,0.95625,0.8238095238095238,0.65,0.93125,0.7254761904761905,0.55
Reconnaissance,17,incremental,0.9333333333333333,0.6504761904761904,0.9,0.9677083333333334,0.7319047619047618,0.9,0.9697916666666668,0.7719047619047619,0.9
Reconnaissance,17,single,0.7708333333333334,0.47214285714285714,0.35,0.8208333333333334,0.5548015873015872,0.45,0.8291666666666666,0.5348809523809523,0.5
Shellcode,5,incremental,0.9541666666666668,0.7771428571428571,0.9,0.9791666666666666,0.8453571428571429,0.85,0.978125,0.8410714285714285,0.85
Shellcode,5,single,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Shellcode,9,single,0.9458333333333334,0.621904761904762,0.45,0.9958333333333333,0.96,0.95,1.0,1.0,1.0
Shellcode,13,incremental,0.9125,0.6244047619047619,0.8,0.9135416666666668,0.6403571428571428,0.75,0.9385416666666666,0.6938095238095239,0.75
Shellcode,13,single,0.8541666666666667,0.5716071428571429,0.5,0.934375,0.7321428571428571,0.6,0.9604166666666666,0.79,0.8
Shellcode,17,incremental,0.9375,0.6605952380952381,0.75,0.9489583333333333,0.7479761904761905,0.8,0.928125,0.6815873015873015,0.75
Shellcode,17,single,0.8083333333333333,0.48678571428571427,0.3,0.9291666666666666,0.7128968253968254,0.55,0.9614583333333332,0.7352777777777778,0.7
