alpha_anom,mode,run_id
0,incremental,2025-12-11T17-59-28_incremental_74sckqcg
0.1,incremental,2025-12-11T18-02-26_incremental_skueaml0
0.3,incremental,2025-12-11T18-05-29_incremental_fsnbmtpw
0.5,incremental,2025-12-11T18-08-33_incremental_bs2s7143
1.0,incremental,2025-12-11T18-11-37_incremental_143n5ouu
2.0,incremental,2025-12-11T18-14-46_incremental_k1h00syc
4.0,incremental,2025-12-11T18-17-50_incremental_tmegk053
6.0,incremental,2025-12-11T18-20-57_incremental_hfsvyl1f
8.0,incremental,2025-12-11T18-24-02_incremental_jzguydqm
10.0,incremental,2025-12-11T18-27-07_incremental_zob9jpgq
0,single,2025-12-11T18-30-12_single_lpsoggn3
0.1,single,2025-12-11T18-30-53_single_nmhaxyt3
0.3,single,2025-12-11T18-31-39_single_pvmcwp4c
0.5,single,2025-12-11T18-32-25_single_oqw4tym9
1.0,single,2025-12-11T18-33-11_single_v53rre86
2.0,single,2025-12-11T18-33-58_single_e5xwtzlm
4.0,single,2025-12-11T18-34-41_single_toal4lne
6.0,single,2025-12-11T18-35-27_single_oiqkft7j
8.0,single,2025-12-11T18-36-13_single_anqflryc
10.0,single,2025-12-11T18-37-01_single_o8m6otda
